report_date,child_asin,ppc_product,buy_box_group2,sessions_total_b2b,page_views_total_b2b,unit_session_percentage_b2b,units_ordered_b2b,ordered_product_sales_b2b,featured_offer_buy_box_percentage_b2b,segment
2023-05-01,B018811E8B,0,Low Buy Box,145,176,1.38,2,26.31,21.6,B2B
2023-06-01,B018811E8B,0,High Buy Box,17,21,47.06,8,117.31,11.43,B2B
2023-07-01,B018811E8B,0,High Buy Box,97,122,5.15,5,190.68,32.78,B2B
2023-08-01,B018811E8B,0,Low Buy Box,29,37,6.9,2,74.42,36.21,B2B
2023-09-01,B018811E8B,0,Low Buy Box,109,157,0.0,0,0.0,6.4,B2B
2023-10-01,B018811E8B,0,Low Buy Box,82,109,1.22,1,22.18,49.69,B2B
2023-11-01,B018811E8B,0,Low Buy Box,112,162,3.57,4,146.48,88.0,B2B
2023-12-01,B018811E8B,0,Low Buy Box,91,123,0.0,0,0.0,78.66,B2B
2024-01-01,B018811E8B,0,Low Buy Box,106,158,0.0,0,0.0,33.86,B2B
2022-04-01,B0NS8T3187,0,Low Buy Box,365,520,0.0,0,0.0,59.68,B2B
2022-05-01,B0NS8T3187,0,Low Buy Box,9,10,44.44,4,167.5,4.91,B2B
2022-06-01,B0NS8T3187,0,Low Buy Box,40,42,0.0,0,0.0,18.22,B2B
2022-07-01,B0NS8T3187,0,Low Buy Box,275,396,1.09,3,118.76,15.82,B2B
2022-08-01,B0NS8T3187,0,Low Buy Box,18,25,61.11,11,126.26,81.8,B2B
2022-09-01,B0NS8T3187,0,High Buy Box,28,31,10.71,3,129.22,51.37,B2B
2022-10-01,B0NS8T3187,0,High Buy Box,39,48,15.38,6,237.75,34.4,B2B
2022-11-01,B0NS8T3187,0,Low Buy Box,15,15,13.33,2,24.75,70.89,B2B
2022-12-01,B0NS8T3187,0,Low Buy Box,47,62,4.26,2,50.64,48.36,B2B
2023-01-01,B0NS8T3187,0,High Buy Box,151,193,1.99,3,105.89,20.81,B2B
2023-02-01,B0NS8T3187,0,High Buy Box,3,4,33.33,1,43.68,18.03,B2B
2023-03-01,B0NS8T3187,0,Low Buy Box,21,27,9.52,2,27.97,4.39,B2B
2023-04-01,B0NS8T3187,0,Low Buy Box,41,57,0.0,0,0.0,62.1,B2B
2023-05-01,B0NS8T3187,0,Low Buy Box,1,1,300.0,3,49.44,94.82,B2B
2023-06-01,B0NS8T3187,0,Low Buy Box,58,84,10.34,6,77.29,52.64,B2B
2023-07-01,B0NS8T3187,0,Low Buy Box,0,0,0.0,6,195.16,23.99,B2B
2023-08-01,B0NS8T3187,0,Low Buy Box,44,57,0.0,0,0.0,43.67,B2B
2023-09-01,B0NS8T3187,0,Low Buy Box,115,160,0.87,1,39.84,89.95,B2B
2023-10-01,B0NS8T3187,0,Low Buy Box,144,175,0.69,1,43.8,81.8,B2B
2023-11-01,B0NS8T3187,0,Low Buy Box,2,2,100.0,2,80.35,84.75,B2B
2023-12-01,B0NS8T3187,0,Low Buy Box,44,65,2.27,1,25.48,13.81,B2B
2024-01-01,B0NS8T3187,0,Low Buy Box,8,9,0.0,0,0.0,42.59,B2B
2022-04-01,B0722SWB4V,0,Low Buy Box,46,48,15.22,7,164.67,93.97,B2B
2022-05-01,B0722SWB4V,0,Low Buy Box,145,202,0.69,1,40.01,74.83,B2B
2022-06-01,B0722SWB4V,0,Low Buy Box,65,90,4.62,3,58.5,78.15,B2B
2022-07-01,B0722SWB4V,0,Low Buy Box,93,105,1.08,1,24.3,27.68,B2B
2022-08-01,B0722SWB4V,0,Low Buy Box,62,76,3.23,2,27.73,20.81,B2B
2022-09-01,B0722SWB4V,0,Low Buy Box,4,4,125.0,5,182.97,47.48,B2B
2022-10-01,B0722SWB4V,0,Low Buy Box,17,20,47.06,8,118.45,66.6,B2B
2022-11-01,B0722SWB4V,0,High Buy Box,13,16,7.69,1,43.44,9.06,B2B
2022-12-01,B0722SWB4V,0,Low Buy Box,30,40,0.0,0,0.0,59.43,B2B
2023-01-01,B0722SWB4V,0,Low Buy Box,27,40,3.7,1,20.27,96.46,B2B
2023-02-01,B0722SWB4V,0,Low Buy Box,76,89,0.0,0,0.0,34.75,B2B
2023-03-01,B0722SWB4V,0,Low Buy Box,26,36,0.0,0,0.0,97.89,B2B
2023-04-01,B0722SWB4V,0,Low Buy Box,174,197,0.57,1,44.59,53.25,B2B
2023-05-01,B0722SWB4V,0,Low Buy Box,33,36,18.18,6,167.75,12.59,B2B
2023-06-01,B0722SWB4V,0,Low Buy Box,61,81,0.0,0,0.0,96.04,B2B
2023-07-01,B0722SWB4V,0,Low Buy Box,92,99,9.78,9,366.92,37.22,B2B
2023-08-01,B0722SWB4V,0,High Buy Box,115,127,0.87,1,35.01,60.63,B2B
2023-09-01,B0722SWB4V,0,Low Buy Box,22,31,4.55,1,35.96,69.45,B2B
2023-10-01,B0722SWB4V,0,Low Buy Box,74,105,0.0,0,0.0,98.19,B2B
2023-11-01,B0722SWB4V,0,Low Buy Box,20,24,5.0,1,43.56,20.67,B2B
2023-12-01,B0722SWB4V,0,Low Buy Box,34,45,0.0,0,0.0,98.8,B2B
2024-01-01,B0722SWB4V,0,Low Buy Box,91,125,1.1,1,32.74,20.85,B2B
2022-04-01,B0TXBBEFL1,0,Low Buy Box,60,91,1.67,1,23.0,0.05,B2B
2022-05-01,B0TXBBEFL1,0,Low Buy Box,15,23,13.33,2,80.29,48.25,B2B
2022-06-01,B0TXBBEFL1,0,High Buy Box,198,255,1.01,2,83.07,59.43,B2B
2022-07-01,B0TXBBEFL1,0,Low Buy Box,23,33,0.0,0,0.0,39.72,B2B
2022-08-01,B0TXBBEFL1,0,Low Buy Box,141,210,0.71,1,42.17,19.0,B2B
2022-09-01,B0TXBBEFL1,0,Low Buy Box,87,108,1.15,1,40.62,25.88,B2B
2022-10-01,B0TXBBEFL1,0,Low Buy Box,152,172,1.97,3,92.81,54.03,B2B
2022-11-01,B0TXBBEFL1,0,Low Buy Box,107,144,0.0,0,0.0,9.61,B2B
2022-12-01,B0TXBBEFL1,0,Low Buy Box,93,125,2.15,2,44.01,5.99,B2B
2023-01-01,B0TXBBEFL1,0,Low Buy Box,23,29,0.0,0,0.0,39.06,B2B
2023-02-01,B0TXBBEFL1,0,High Buy Box,26,37,0.0,0,0.0,80.17,B2B
2023-03-01,B0TXBBEFL1,0,Low Buy Box,31,38,9.68,3,48.26,93.47,B2B
2023-04-01,B0TXBBEFL1,0,Low Buy Box,46,51,28.26,13,479.5,54.96,B2B
2023-05-01,B0TXBBEFL1,0,High Buy Box,18,25,27.78,5,180.67,92.53,B2B
2023-06-01,B0TXBBEFL1,0,High Buy Box,1,1,100.0,1,28.56,54.96,B2B
2023-07-01,B0TXBBEFL1,0,High Buy Box,53,63,1.89,1,40.97,39.71,B2B
2023-08-01,B0TXBBEFL1,0,Low Buy Box,8,9,0.0,0,0.0,92.61,B2B
2023-09-01,B0TXBBEFL1,0,Low Buy Box,110,160,0.0,0,0.0,39.11,B2B
2023-10-01,B0TXBBEFL1,0,Low Buy Box,57,69,3.51,2,64.28,66.42,B2B
2023-11-01,B0TXBBEFL1,0,Low Buy Box,10,14,40.0,4,124.63,11.05,B2B
2023-12-01,B0TXBBEFL1,0,Low Buy Box,0,0,0.0,0,0.0,24.86,B2B
2024-01-01,B0TXBBEFL1,0,Low Buy Box,21,23,42.86,9,374.32,93.09,B2B
2022-04-01,B0B9D9L679,0,Low Buy Box,61,76,3.28,2,75.22,23.2,B2B
2022-05-01,B0B9D9L679,0,Low Buy Box,48,69,2.08,1,21.85,18.69,B2B
2022-06-01,B0B9D9L679,0,Low Buy Box,62,73,3.23,2,37.1,97.57,B2B
2022-07-01,B0B9D9L679,0,Low Buy Box,16,23,12.5,2,85.2,72.53,B2B
2022-08-01,B0B9D9L679,0,Low Buy Box,68,77,4.41,3,64.45,67.8,B2B
2022-09-01,B0B9D9L679,0,Low Buy Box,84,130,2.38,2,80.88,35.74,B2B
2022-10-01,B0B9D9L679,0,Low Buy Box,5,7,0.0,0,0.0,64.03,B2B
2022-11-01,B0B9D9L679,0,Low Buy Box,41,43,2.44,1,13.1,70.96,B2B
2022-12-01,B0B9D9L679,0,Low Buy Box,6,8,50.0,3,115.04,38.59,B2B
2023-01-01,B0B9D9L679,0,Low Buy Box,44,62,2.27,1,12.42,89.04,B2B
2023-02-01,B0B9D9L679,0,Low Buy Box,14,17,0.0,0,0.0,79.85,B2B
2023-03-01,B0B9D9L679,0,Low Buy Box,25,35,0.0,0,0.0,66.28,B2B
2023-04-01,B0B9D9L679,0,High Buy Box,54,77,0.0,0,0.0,69.64,B2B
2023-05-01,B0B9D9L679,0,Low Buy Box,10,10,10.0,1,41.23,47.88,B2B
2023-06-01,B0B9D9L679,0,Low Buy Box,78,113,0.0,0,0.0,20.38,B2B
2023-07-01,B0B9D9L679,0,Low Buy Box,96,108,0.0,0,0.0,22.04,B2B
2023-08-01,B0B9D9L679,0,Low Buy Box,47,70,6.38,3,46.43,38.27,B2B
2023-09-01,B0B9D9L679,0,Low Buy Box,119,176,1.68,2,54.47,79.27,B2B
2023-10-01,B0B9D9L679,0,High Buy Box,121,143,6.61,8,261.69,51.38,B2B
2023-11-01,B0B9D9L679,0,Low Buy Box,66,93,3.03,2,83.72,60.37,B2B
2023-12-01,B0B9D9L679,0,Low Buy Box,0,0,0.0,7,82.34,52.47,B2B
2024-01-01,B0B9D9L679,0,High Buy Box,24,27,29.17,7,148.14,15.59,B2B
2022-04-01,B0C4WD1XR0,0,Low Buy Box,20,21,25.0,5,100.48,16.01,B2B
2022-05-01,B0C4WD1XR0,0,Low Buy Box,93,129,1.08,1,23.02,78.1,B2B
2022-06-01,B0C4WD1XR0,0,Low Buy Box,3,4,133.33,4,135.46,49.43,B2B
2022-07-01,B0C4WD1XR0,0,High Buy Box,60,90,0.0,0,0.0,37.34,B2B
2022-08-01,B0C4WD1XR0,0,High Buy Box,54,64,0.0,0,0.0,69.29,B2B
2022-09-01,B0C4WD1XR0,0,High Buy Box,58,85,0.0,0,0.0,23.99,B2B
2022-10-01,B0C4WD1XR0,0,Low Buy Box,105,152,3.81,4,97.43,63.85,B2B
2022-11-01,B0C4WD1XR0,0,Low Buy Box,48,54,20.83,10,291.87,64.67,B2B
2022-12-01,B0C4WD1XR0,0,Low Buy Box,198,299,2.02,4,130.24,34.05,B2B
2023-01-01,B0C4WD1XR0,0,High Buy Box,76,101,3.95,3,41.98,49.7,B2B
2023-02-01,B0C4WD1XR0,0,High Buy Box,16,20,6.25,1,15.37,59.41,B2B
2023-03-01,B0C4WD1XR0,0,Low Buy Box,48,72,4.17,2,77.95,10.79,B2B
2023-04-01,B0C4WD1XR0,0,Low Buy Box,118,149,0.85,1,37.13,47.16,B2B
2023-05-01,B0C4WD1XR0,0,High Buy Box,93,132,0.0,0,0.0,31.1,B2B
2023-06-01,B0C4WD1XR0,0,Low Buy Box,62,84,0.0,0,0.0,51.43,B2B
2023-07-01,B0C4WD1XR0,0,Low Buy Box,27,28,14.81,4,144.86,22.7,B2B
2023-08-01,B0C4WD1XR0,0,Low Buy Box,151,227,1.99,3,80.2,89.8,B2B
2023-09-01,B0C4WD1XR0,0,Low Buy Box,13,15,0.0,0,0.0,55.8,B2B
2023-10-01,B0C4WD1XR0,0,High Buy Box,196,214,1.53,3,85.81,49.2,B2B
2023-11-01,B0C4WD1XR0,0,Low Buy Box,36,48,0.0,0,0.0,32.1,B2B
2023-12-01,B0C4WD1XR0,0,Low Buy Box,60,90,0.0,0,0.0,50.21,B2B
2024-01-01,B0C4WD1XR0,0,Low Buy Box,118,140,0.0,0,0.0,2.93,B2B
2022-04-01,B0LVRCBQ53,0,Low Buy Box,2,2,0.0,0,0.0,92.34,B2B
2022-05-01,B0LVRCBQ53,0,Low Buy Box,75,89,1.33,1,13.79,56.68,B2B
2022-06-01,B0LVRCBQ53,0,Low Buy Box,37,42,2.7,1,28.59,9.27,B2B
2022-07-01,B0LVRCBQ53,0,Low Buy Box,0,0,0.0,4,48.82,40.07,B2B
2022-08-01,B0LVRCBQ53,0,Low Buy Box,11,15,63.64,7,179.06,87.52,B2B
2022-09-01,B0LVRCBQ53,0,Low Buy Box,17,25,0.0,0,0.0,28.88,B2B
2022-10-01,B0LVRCBQ53,0,Low Buy Box,59,80,5.08,3,84.04,59.42,B2B
2022-11-01,B0LVRCBQ53,0,High Buy Box,132,145,2.27,3,84.06,57.59,B2B
2022-12-01,B0LVRCBQ53,0,High Buy Box,38,58,2.63,1,16.71,1.32,B2B
2023-01-01,B0LVRCBQ53,0,Low Buy Box,164,185,0.0,0,0.0,94.6,B2B
2023-02-01,B0LVRCBQ53,0,Low Buy Box,26,31,0.0,0,0.0,41.14,B2B
2023-03-01,B0LVRCBQ53,0,Low Buy Box,103,124,2.91,3,31.05,5.44,B2B
2023-04-01,B0LVRCBQ53,0,High Buy Box,206,299,0.97,2,55.98,24.23,B2B
2023-05-01,B0LVRCBQ53,0,Low Buy Box,162,186,0.0,0,0.0,97.04,B2B
2023-06-01,B0LVRCBQ53,0,High Buy Box,43,65,0.0,0,0.0,90.55,B2B
2023-07-01,B0LVRCBQ53,0,High Buy Box,10,12,40.0,4,73.49,28.56,B2B
2023-08-01,B0LVRCBQ53,0,Low Buy Box,1,1,100.0,1,11.43,46.79,B2B
2023-09-01,B0LVRCBQ53,0,Low Buy Box,127,151,1.57,2,25.8,21.39,B2B
2023-10-01,B0LVRCBQ53,0,Low Buy Box,12,17,0.0,0,0.0,23.49,B2B
2023-11-01,B0LVRCBQ53,0,Low Buy Box,119,135,1.68,2,43.34,40.16,B2B
2023-12-01,B0LVRCBQ53,0,Low Buy Box,89,124,7.87,7,190.18,21.1,B2B
2024-01-01,B0LVRCBQ53,0,Low Buy Box,8,9,62.5,5,162.66,63.54,B2B
2022-04-01,B0ZLKWJ9ND,0,High Buy Box,78,116,0.0,0,0.0,86.06,B2B
2022-05-01,B0ZLKWJ9ND,0,Low Buy Box,138,155,2.17,3,51.22,62.43,B2B
2022-06-01,B0ZLKWJ9ND,0,Low Buy Box,98,148,4.08,4,114.51,32.99,B2B
2022-07-01,B0ZLKWJ9ND,0,Low Buy Box,51,69,3.92,2,83.32,39.24,B2B
2022-08-01,B0ZLKWJ9ND,0,High Buy Box,64,70,0.0,0,0.0,3.12,B2B
2022-09-01,B0ZLKWJ9ND,0,Low Buy Box,16,19,0.0,0,0.0,6.28,B2B
2022-10-01,B0ZLKWJ9ND,0,High Buy Box,1,1,200.0,2,65.55,77.8,B2B
2022-11-01,B0ZLKWJ9ND,0,High Buy Box,49,58,12.24,6,86.68,41.08,B2B
2022-12-01,B0ZLKWJ9ND,0,Low Buy Box,95,106,15.79,15,294.79,8.73,B2B
2023-01-01,B0ZLKWJ9ND,0,Low Buy Box,122,167,0.0,0,0.0,43.75,B2B
2023-02-01,B0ZLKWJ9ND,0,Low Buy Box,29,38,0.0,0,0.0,42.38,B2B
2023-03-01,B0ZLKWJ9ND,0,High Buy Box,15,18,0.0,0,0.0,76.6,B2B
2023-04-01,B0ZLKWJ9ND,0,Low Buy Box,0,0,0.0,5,221.94,39.85,B2B
2023-05-01,B0ZLKWJ9ND,0,Low Buy Box,89,132,2.25,2,83.71,59.57,B2B
2023-06-01,B0ZLKWJ9ND,0,Low Buy Box,246,281,0.0,0,0.0,18.49,B2B
2023-07-01,B0ZLKWJ9ND,0,High Buy Box,29,30,3.45,1,18.22,88.05,B2B
2023-08-01,B0ZLKWJ9ND,0,Low Buy Box,24,35,12.5,3,39.58,41.75,B2B
2023-09-01,B0ZLKWJ9ND,0,Low Buy Box,31,37,6.45,2,68.8,74.64,B2B
2023-10-01,B0ZLKWJ9ND,0,Low Buy Box,16,17,0.0,0,0.0,72.11,B2B
2023-11-01,B0ZLKWJ9ND,0,High Buy Box,119,176,0.84,1,32.93,63.03,B2B
2023-12-01,B0ZLKWJ9ND,0,High Buy Box,30,43,3.33,1,39.67,54.98,B2B
2024-01-01,B0ZLKWJ9ND,0,Low Buy Box,183,264,2.73,5,203.14,19.77,B2B
2022-04-01,B01VBSN1GN,0,High Buy Box,113,135,0.0,0,0.0,69.34,B2B
2022-05-01,B01VBSN1GN,0,Low Buy Box,104,109,4.81,5,177.77,79.2,B2B
2022-06-01,B01VBSN1GN,0,Low Buy Box,172,256,0.0,0,0.0,57.96,B2B
2022-07-01,B01VBSN1GN,0,Low Buy Box,74,100,5.41,4,53.13,57.7,B2B
2022-08-01,B01VBSN1GN,0,High Buy Box,13,15,7.69,1,23.22,78.88,B2B
2022-09-01,B01VBSN1GN,0,Low Buy Box,28,39,7.14,2,55.07,97.37,B2B
2022-10-01,B01VBSN1GN,0,Low Buy Box,21,30,19.05,4,160.68,29.75,B2B
2022-11-01,B01VBSN1GN,0,Low Buy Box,32,47,9.38,3,59.97,28.26,B2B
2022-12-01,B01VBSN1GN,0,Low Buy Box,73,93,0.0,0,0.0,16.73,B2B
2023-01-01,B01VBSN1GN,0,High Buy Box,117,149,0.85,1,30.01,86.87,B2B
2023-02-01,B01VBSN1GN,0,Low Buy Box,1,1,0.0,0,0.0,11.64,B2B
2023-03-01,B01VBSN1GN,0,Low Buy Box,169,236,1.18,2,68.18,79.78,B2B
2023-04-01,B01VBSN1GN,0,Low Buy Box,41,48,14.63,6,223.95,14.71,B2B
2023-05-01,B01VBSN1GN,0,Low Buy Box,10,14,0.0,0,0.0,98.41,B2B
2023-06-01,B01VBSN1GN,0,High Buy Box,25,32,12.0,3,65.52,73.27,B2B
2023-07-01,B01VBSN1GN,0,Low Buy Box,50,67,0.0,0,0.0,3.57,B2B
2023-08-01,B01VBSN1GN,0,High Buy Box,85,125,7.06,6,145.84,3.7,B2B
2023-09-01,B01VBSN1GN,0,Low Buy Box,16,17,31.25,5,159.84,43.53,B2B
2023-10-01,B01VBSN1GN,0,High Buy Box,68,90,0.0,0,0.0,2.77,B2B
