Parent_ASIN,Child_ASIN,Title,SKU,Sessions_Mobile_App,Sessions_Mobile_APP_B2B,Sessions_Browser,Sessions_Browser_B2B,Sessions_Total,Sessions_Total_B2B,Session_Percentage_Mobile_App,Session_Percentage_Mobile_APP_B2B,Session_Percentage_Browser,Session_Percentage_Browser_B2B,Session_Percentage_Total,Session_Percentage_Total_B2B,Page_Views_Mobile_App,Page_Views_Mobile_APP_B2B,Page_Views_Browser,Page_Views_Browser_B2B,Page_Views_Total,Page_Views_Total_B2B,Page_Views_Percentage_Mobile_App,Page_Views_Percentage_Mobile_App_B2B,Page_Views_Percentage_Browser,Page_Views_Percentage_Browser_B2B,Page_Views_Percentage_Total,Page_Views_Percentage_Total_B2B,Featured_Offer_Buy_Box_Percentage,Featured_Offer_Buy_Box_Percentage_B2B,Units_Ordered,Units_Ordered_B2B,Unit_Session_Percentage,Unit_Session_Percentage_B2B,Ordered_Product_Sales,Ordered_Product_Sales_B2B,Total_Order_Items,Total_Order_Items_B2B,Report_Date
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,221,19,1030,50,1251,69,0.1767,0.2754,0.8233,0.7246,1.0,1.0,352,20,1487,60,1839,80,0.1914,0.25,0.8086,0.75,1.0,1.0,0.8427,0.783,17,0,0.0136,0.0002,481.73,27.56,17,2,2022-04-19
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,151,20,1596,40,1747,60,0.0864,0.3333,0.9136,0.6667,1.0,1.0,217,22,1992,48,2209,70,0.0982,0.3143,0.9018,0.6857,1.0,1.0,0.5614,0.5326,32,2,0.0183,0.0021,1944.83,6.98,32,2,2022-04-20
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,154,6,155,22,309,28,0.4984,0.2143,0.5016,0.7857,1.0,1.0,236,6,202,26,438,32,0.5388,0.1875,0.4612,0.8125,1.0,1.0,0.986,0.9551,40,5,0.1294,0.0004,906.45,13.59,40,3,2022-04-21
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,167,17,452,3,619,20,0.2698,0.85,0.7302,0.15,1.0,1.0,194,18,757,3,951,21,0.204,0.8571,0.796,0.1429,1.0,1.0,0.5559,0.506,35,1,0.0565,0.0108,1001.93,8.79,35,4,2022-04-22
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,439,7,2092,10,2531,17,0.1734,0.4118,0.8266,0.5882,1.0,1.0,540,7,3299,12,3839,19,0.1407,0.3684,0.8593,0.6316,1.0,1.0,0.7694,0.5559,39,6,0.0154,0.003,1225.62,48.61,39,2,2022-04-23
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,460,20,196,11,656,31,0.7012,0.6452,0.2988,0.3548,1.0,1.0,651,22,380,13,1031,35,0.6314,0.6286,0.3686,0.3714,1.0,1.0,0.8758,0.8129,40,2,0.061,0.0165,1210.53,11.7,40,5,2022-04-24
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,565,15,897,32,1462,47,0.3865,0.3191,0.6135,0.6809,1.0,1.0,721,16,1761,38,2482,54,0.2905,0.2963,0.7095,0.7037,1.0,1.0,0.89,0.6484,40,1,0.0274,0.0067,1080.02,26.43,40,6,2022-04-25
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,131,10,2449,6,2580,16,0.0508,0.625,0.9492,0.375,1.0,1.0,180,11,4069,7,4249,18,0.0424,0.6111,0.9576,0.3889,1.0,1.0,0.9349,0.6773,16,2,0.0062,0.0016,406.71,18.89,16,1,2022-04-26
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,339,0,618,29,957,29,0.3542,0.0,0.6458,1.0,1.0,1.0,452,0,1193,34,1645,34,0.2748,0.0,0.7252,1.0,1.0,1.0,0.6055,0.3735,4,0,0.0042,0.0007,212.59,7.71,4,1,2022-04-27
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,578,6,1092,39,1670,45,0.3461,0.1333,0.6539,0.8667,1.0,1.0,842,6,1273,46,2115,52,0.3981,0.1154,0.6019,0.8846,1.0,1.0,0.7936,0.4925,29,4,0.0174,0.0016,1522.01,85.06,29,0,2022-04-28
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,162,10,937,11,1099,21,0.1474,0.4762,0.8526,0.5238,1.0,1.0,236,11,1369,13,1605,24,0.147,0.4583,0.853,0.5417,1.0,1.0,0.5605,0.5076,11,0,0.01,0.0029,429.6,5.77,11,0,2022-04-29
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,462,4,215,40,677,44,0.6824,0.0909,0.3176,0.9091,1.0,1.0,564,4,249,48,813,52,0.6937,0.0769,0.3063,0.9231,1.0,1.0,0.7966,0.6295,26,1,0.0384,0.0092,1411.36,29.1,26,2,2022-04-30
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,289,19,294,33,583,52,0.4957,0.3654,0.5043,0.6346,1.0,1.0,394,20,408,39,802,59,0.4913,0.339,0.5087,0.661,1.0,1.0,0.72,0.5937,19,1,0.0326,0.0087,616.28,36.06,19,1,2022-05-01
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,219,8,720,2,939,10,0.2332,0.8,0.7668,0.2,1.0,1.0,334,8,1377,2,1711,10,0.1952,0.8,0.8048,0.2,1.0,1.0,0.6056,0.4639,2,0,0.0021,0.0,112.71,0.78,2,1,2022-05-02
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,345,14,1509,7,1854,21,0.1861,0.6667,0.8139,0.3333,1.0,1.0,508,15,2762,8,3270,23,0.1554,0.6522,0.8446,0.3478,1.0,1.0,0.7417,0.5709,33,1,0.0178,0.0023,1479.56,34.53,33,4,2022-05-03
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,595,9,524,60,1119,69,0.5317,0.1304,0.4683,0.8696,1.0,1.0,759,9,838,72,1597,81,0.4753,0.1111,0.5247,0.8889,1.0,1.0,0.7271,0.6696,11,0,0.0098,0.0015,412.89,2.82,11,1,2022-05-04
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,162,12,252,45,414,57,0.3913,0.2105,0.6087,0.7895,1.0,1.0,199,13,490,54,689,67,0.2888,0.194,0.7112,0.806,1.0,1.0,0.7179,0.624,24,3,0.058,0.0161,1200.65,17.61,24,0,2022-05-05
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,576,7,1084,33,1660,40,0.347,0.175,0.653,0.825,1.0,1.0,607,7,1191,39,1798,46,0.3376,0.1522,0.6624,0.8478,1.0,1.0,0.9425,0.8879,36,0,0.0217,0.0035,852.59,19.78,36,3,2022-05-06
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,500,11,239,59,739,70,0.6766,0.1571,0.3234,0.8429,1.0,1.0,746,12,414,70,1160,82,0.6431,0.1463,0.3569,0.8537,1.0,1.0,0.5665,0.3984,8,0,0.0108,0.0013,314.78,11.97,8,0,2022-05-07
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,421,6,2243,23,2664,29,0.158,0.2069,0.842,0.7931,1.0,1.0,576,6,3249,27,3825,33,0.1506,0.1818,0.8494,0.8182,1.0,1.0,0.9606,0.8679,36,4,0.0135,0.001,2315.32,42.82,36,1,2022-05-08
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,447,17,1992,42,2439,59,0.1833,0.2881,0.8167,0.7119,1.0,1.0,479,18,3390,50,3869,68,0.1238,0.2647,0.8762,0.7353,1.0,1.0,0.7258,0.6163,2,1,0.0008,0.0,104.16,6.02,2,0,2022-05-09
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,77,10,1374,2,1451,12,0.0531,0.8333,0.9469,0.1667,1.0,1.0,88,11,2206,2,2294,13,0.0384,0.8462,0.9616,0.1538,1.0,1.0,0.769,0.5643,32,2,0.0221,0.004,1933.34,70.84,32,0,2022-05-10
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,589,12,1249,38,1838,50,0.3205,0.24,0.6795,0.76,1.0,1.0,837,13,2459,45,3296,58,0.2539,0.2241,0.7461,0.7759,1.0,1.0,0.9669,0.6498,37,2,0.0201,0.0015,1291.39,72.75,37,5,2022-05-11
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,362,19,1959,4,2321,23,0.156,0.8261,0.844,0.1739,1.0,1.0,556,20,2190,4,2746,24,0.2025,0.8333,0.7975,0.1667,1.0,1.0,0.9083,0.5926,22,0,0.0095,0.0027,642.17,43.84,22,3,2022-05-12
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,228,2,2356,53,2584,55,0.0882,0.0364,0.9118,0.9636,1.0,1.0,327,2,3618,63,3945,65,0.0829,0.0308,0.9171,0.9692,1.0,1.0,0.6588,0.4271,3,0,0.0012,0.0,80.75,1.19,3,1,2022-05-13
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,201,6,1827,3,2028,9,0.0991,0.6667,0.9009,0.3333,1.0,1.0,264,6,2823,3,3087,9,0.0855,0.6667,0.9145,0.3333,1.0,1.0,0.6055,0.4525,22,0,0.0108,0.0007,803.99,24.51,22,0,2022-05-14
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,360,19,590,47,950,66,0.3789,0.2879,0.6211,0.7121,1.0,1.0,440,20,926,56,1366,76,0.3221,0.2632,0.6779,0.7368,1.0,1.0,0.6861,0.482,38,1,0.04,0.0071,2411.91,67.12,38,2,2022-05-15
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,446,16,972,3,1418,19,0.3145,0.8421,0.6855,0.1579,1.0,1.0,493,17,1520,3,2013,20,0.2449,0.85,0.7551,0.15,1.0,1.0,0.8453,0.6226,28,4,0.0197,0.0034,1099.11,12.92,28,3,2022-05-16
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,32,18,2089,2,2121,20,0.0151,0.9,0.9849,0.1,1.0,1.0,41,19,3267,2,3308,21,0.0124,0.9048,0.9876,0.0952,1.0,1.0,0.5619,0.3776,39,6,0.0184,0.0042,964.55,66.46,39,5,2022-05-17
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,279,9,1596,55,1875,64,0.1488,0.1406,0.8512,0.8594,1.0,1.0,421,9,1784,66,2205,75,0.1909,0.12,0.8091,0.88,1.0,1.0,0.6751,0.4272,35,3,0.0187,0.0042,1135.68,34.58,35,5,2022-05-18
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,93,7,70,5,163,12,0.5706,0.5833,0.4294,0.4167,1.0,1.0,121,7,119,6,240,13,0.5042,0.5385,0.4958,0.4615,1.0,1.0,0.6824,0.5245,14,2,0.0859,0.0077,810.04,37.75,14,0,2022-05-19
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,509,0,2248,30,2757,30,0.1846,0.0,0.8154,1.0,1.0,1.0,784,0,4445,36,5229,36,0.1499,0.0,0.8501,1.0,1.0,1.0,0.5681,0.3431,5,1,0.0018,0.0004,232.09,7.91,5,0,2022-05-20
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,504,2,531,15,1035,17,0.487,0.1176,0.513,0.8824,1.0,1.0,738,2,685,18,1423,20,0.5186,0.1,0.4814,0.9,1.0,1.0,0.9792,0.9724,13,0,0.0126,0.0015,528.11,14.83,13,1,2022-05-21
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,588,19,2132,11,2720,30,0.2162,0.6333,0.7838,0.3667,1.0,1.0,674,20,2424,13,3098,33,0.2176,0.6061,0.7824,0.3939,1.0,1.0,0.7635,0.7399,6,0,0.0022,0.0001,197.41,5.93,6,1,2022-05-22
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,395,17,741,47,1136,64,0.3477,0.2656,0.6523,0.7344,1.0,1.0,477,18,1331,56,1808,74,0.2638,0.2432,0.7362,0.7568,1.0,1.0,0.5158,0.3577,19,1,0.0167,0.0008,426.83,23.36,19,3,2022-05-23
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,487,10,1874,9,2361,19,0.2063,0.5263,0.7937,0.4737,1.0,1.0,579,11,2280,10,2859,21,0.2025,0.5238,0.7975,0.4762,1.0,1.0,0.8207,0.6435,31,2,0.0131,0.0034,1654.21,32.64,31,1,2022-05-24
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,578,2,981,14,1559,16,0.3708,0.125,0.6292,0.875,1.0,1.0,916,2,1940,16,2856,18,0.3207,0.1111,0.6793,0.8889,1.0,1.0,0.58,0.4936,21,3,0.0135,0.0016,496.08,17.03,21,2,2022-05-25
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,167,15,903,46,1070,61,0.1561,0.2459,0.8439,0.7541,1.0,1.0,201,16,1009,55,1210,71,0.1661,0.2254,0.8339,0.7746,1.0,1.0,0.6059,0.5101,10,0,0.0093,0.0011,226.92,2.73,10,0,2022-05-26
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,126,14,2382,2,2508,16,0.0502,0.875,0.9498,0.125,1.0,1.0,148,15,3088,2,3236,17,0.0457,0.8824,0.9543,0.1176,1.0,1.0,0.8041,0.5446,7,1,0.0028,0.0004,210.66,1.87,7,0,2022-05-27
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,557,13,923,10,1480,23,0.3764,0.5652,0.6236,0.4348,1.0,1.0,657,14,1289,12,1946,26,0.3376,0.5385,0.6624,0.4615,1.0,1.0,0.9036,0.8671,12,1,0.0081,0.0023,659.33,9.84,12,0,2022-05-28
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,329,2,1187,21,1516,23,0.217,0.087,0.783,0.913,1.0,1.0,499,2,1714,25,2213,27,0.2255,0.0741,0.7745,0.9259,1.0,1.0,0.6472,0.6249,1,1,0.0007,0.0,62.65,3.33,1,1,2022-05-29
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,147,14,688,5,835,19,0.176,0.7368,0.824,0.2632,1.0,1.0,183,15,826,6,1009,21,0.1814,0.7143,0.8186,0.2857,1.0,1.0,0.6485,0.3904,8,1,0.0096,0.0005,289.23,2.17,8,1,2022-05-30
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,598,3,1086,23,1684,26,0.3551,0.1154,0.6449,0.8846,1.0,1.0,842,3,1172,27,2014,30,0.4181,0.1,0.5819,0.9,1.0,1.0,0.8504,0.816,11,1,0.0065,0.0013,536.77,10.12,11,1,2022-05-31
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,156,10,115,7,271,17,0.5756,0.5882,0.4244,0.4118,1.0,1.0,220,11,214,8,434,19,0.5069,0.5789,0.4931,0.4211,1.0,1.0,0.8141,0.4933,4,0,0.0148,0.0009,216.78,4.23,4,1,2022-06-01
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,182,15,178,1,360,16,0.5056,0.9375,0.4944,0.0625,1.0,1.0,281,16,221,1,502,17,0.5598,0.9412,0.4402,0.0588,1.0,1.0,0.9219,0.8819,39,6,0.1083,0.0095,2133.68,134.45,39,6,2022-06-02
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,56,16,1216,53,1272,69,0.044,0.2319,0.956,0.7681,1.0,1.0,71,17,2107,63,2178,80,0.0326,0.2125,0.9674,0.7875,1.0,1.0,0.9352,0.873,14,1,0.011,0.0032,652.37,19.14,14,2,2022-06-03
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,182,1,111,45,293,46,0.6212,0.0217,0.3788,0.9783,1.0,1.0,195,1,215,54,410,55,0.4756,0.0182,0.5244,0.9818,1.0,1.0,0.5861,0.5642,33,0,0.1126,0.0165,1853.22,32.48,33,3,2022-06-04
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,480,13,2450,20,2930,33,0.1638,0.3939,0.8362,0.6061,1.0,1.0,749,14,3907,24,4656,38,0.1609,0.3684,0.8391,0.6316,1.0,1.0,0.5475,0.5349,38,1,0.013,0.0006,1585.01,30.85,38,4,2022-06-05
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,185,16,1185,51,1370,67,0.135,0.2388,0.865,0.7612,1.0,1.0,259,17,2250,61,2509,78,0.1032,0.2179,0.8968,0.7821,1.0,1.0,0.528,0.4259,5,1,0.0036,0.0008,122.02,6.65,5,1,2022-06-06
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,211,19,1110,31,1321,50,0.1597,0.38,0.8403,0.62,1.0,1.0,308,20,1455,37,1763,57,0.1747,0.3509,0.8253,0.6491,1.0,1.0,0.7228,0.4881,3,1,0.0023,0.0001,71.3,4.76,3,0,2022-06-07
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,461,17,2480,43,2941,60,0.1567,0.2833,0.8433,0.7167,1.0,1.0,671,18,4053,51,4724,69,0.142,0.2609,0.858,0.7391,1.0,1.0,0.9936,0.7953,22,2,0.0075,0.0016,700.41,3.61,22,0,2022-06-08
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,465,3,2451,44,2916,47,0.1595,0.0638,0.8405,0.9362,1.0,1.0,540,3,4622,52,5162,55,0.1046,0.0545,0.8954,0.9455,1.0,1.0,0.5742,0.4475,21,0,0.0072,0.0,827.54,28.49,21,1,2022-06-09
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,310,16,2282,17,2592,33,0.1196,0.4848,0.8804,0.5152,1.0,1.0,431,17,3723,20,4154,37,0.1038,0.4595,0.8962,0.5405,1.0,1.0,0.7914,0.7197,25,4,0.0096,0.0027,1123.67,18.78,25,1,2022-06-10
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,39,18,1906,13,1945,31,0.0201,0.5806,0.9799,0.4194,1.0,1.0,51,19,3226,15,3277,34,0.0156,0.5588,0.9844,0.4412,1.0,1.0,0.767,0.6088,20,0,0.0103,0.0003,763.54,19.3,20,1,2022-06-11
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,272,6,502,14,774,20,0.3514,0.3,0.6486,0.7,1.0,1.0,362,6,536,16,898,22,0.4031,0.2727,0.5969,0.7273,1.0,1.0,0.6598,0.6219,39,5,0.0504,0.003,2265.21,85.81,39,3,2022-06-12
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,63,8,2340,15,2403,23,0.0262,0.3478,0.9738,0.6522,1.0,1.0,98,8,3803,18,3901,26,0.0251,0.3077,0.9749,0.6923,1.0,1.0,0.8502,0.5213,3,0,0.0012,0.0001,101.82,6.15,3,1,2022-06-13
