report_date,child_asin,ppc_product,buy_box_group,sessions_total,page_views_total,unit_session_percentage,units_ordered,ordered_product_sales,featured_offer_buy_box_percentage
2023-04-01,B0XZ19TA14,0,Low Buy Box,1513,1669,3.3,50,2686.89,30.6
2023-05-01,B0XZ19TA14,0,Low Buy Box,1173,1358,0.77,9,273.35,36.88
2023-06-01,B0XZ19TA14,0,Low Buy Box,2661,3246,0.19,5,199.79,62.1
2023-07-01,B0XZ19TA14,0,High Buy Box,7503,11369,0.16,12,524.79,50.98
2023-08-01,B0XZ19TA14,0,Low Buy Box,2032,3091,1.92,39,1439.5,54.4
2023-09-01,B0XZ19TA14,0,Low Buy Box,651,826,0.46,3,68.5,23.2
2023-10-01,B0XZ19TA14,0,Low Buy Box,1020,1282,1.57,16,802.83,49.35
2023-11-01,B0XZ19TA14,0,High Buy Box,2120,2615,0.57,12,546.53,90.8
2023-12-01,B0XZ19TA14,0,High Buy Box,446,607,6.95,31,748.34,92.04
2024-01-01,B0XZ19TA14,0,Low Buy Box,1357,1994,1.33,18,349.67,54.28
2022-04-01,B018811E8B,0,Low Buy Box,1007,1114,0.89,9,184.04,82.6
2022-05-01,B018811E8B,0,High Buy Box,468,541,18.38,86,4446.84,59.06
2022-06-01,B018811E8B,0,Low Buy Box,2547,3214,0.55,14,645.28,27.94
2022-07-01,B018811E8B,0,Low Buy Box,1980,2473,1.77,35,1645.64,66.68
2022-08-01,B018811E8B,0,Low Buy Box,755,959,1.46,11,472.61,72.97
2022-09-01,B018811E8B,0,High Buy Box,865,1156,2.89,25,1303.53,36.93
2022-10-01,B018811E8B,0,High Buy Box,741,883,10.53,78,2479.14,1.81
2022-11-01,B018811E8B,0,Low Buy Box,3583,4025,0.45,16,696.18,78.24
2022-12-01,B018811E8B,0,Low Buy Box,6359,8553,0.6,38,1118.34,62.97
2023-01-01,B018811E8B,0,Low Buy Box,1433,1911,1.47,21,441.52,22.2
2023-02-01,B018811E8B,0,High Buy Box,987,1471,1.62,16,736.14,39.25
2023-03-01,B018811E8B,0,Low Buy Box,1556,1979,3.53,55,2855.14,6.17
2023-04-01,B018811E8B,0,Low Buy Box,902,1361,1.11,10,262.67,77.7
2023-05-01,B018811E8B,0,Low Buy Box,5312,6143,0.26,14,347.21,51.9
2023-06-01,B018811E8B,0,Low Buy Box,3150,4860,0.6,19,643.25,25.94
2023-07-01,B018811E8B,0,Low Buy Box,972,1101,1.95,19,592.08,17.61
2023-08-01,B018811E8B,0,Low Buy Box,609,773,2.13,13,465.24,65.35
2023-09-01,B018811E8B,0,High Buy Box,374,442,15.78,59,1126.0,34.65
2023-10-01,B018811E8B,0,Low Buy Box,442,576,6.33,28,992.49,47.91
2023-11-01,B018811E8B,0,Low Buy Box,792,1150,4.42,35,667.52,81.69
2023-12-01,B018811E8B,0,High Buy Box,866,980,0.58,5,186.36,88.86
2024-01-01,B018811E8B,0,Low Buy Box,2525,2811,1.58,40,1593.79,49.18
2022-04-01,B0NS8T3187,0,Low Buy Box,4570,6946,0.61,28,894.17,76.31
2022-05-01,B0NS8T3187,0,Low Buy Box,8463,9972,0.45,38,1416.7,2.51
2022-06-01,B0NS8T3187,0,High Buy Box,1837,2595,0.0,0,0.0,35.14
2022-07-01,B0NS8T3187,0,Low Buy Box,1644,2315,3.95,65,2761.22,40.14
2022-08-01,B0NS8T3187,0,High Buy Box,822,951,2.8,23,381.54,79.09
2022-09-01,B0NS8T3187,0,Low Buy Box,1877,2021,1.44,27,1396.21,72.36
2022-10-01,B0NS8T3187,0,Low Buy Box,1932,2626,1.71,33,1140.24,31.08
2022-11-01,B0NS8T3187,0,High Buy Box,203,222,4.93,10,468.4,49.95
2022-12-01,B0NS8T3187,0,High Buy Box,4146,4743,0.22,9,183.33,47.61
2023-01-01,B0NS8T3187,0,Low Buy Box,2786,4069,0.29,8,286.88,42.41
2023-02-01,B0NS8T3187,0,High Buy Box,665,983,0.45,3,151.6,28.24
2023-03-01,B0NS8T3187,0,Low Buy Box,5175,7617,0.17,9,213.22,50.42
2023-04-01,B0NS8T3187,0,High Buy Box,1180,1331,3.81,45,1009.18,57.62
2023-05-01,B0NS8T3187,0,Low Buy Box,296,311,2.03,6,156.43,80.44
2023-06-01,B0NS8T3187,0,Low Buy Box,1046,1215,3.15,33,492.37,65.9
2023-07-01,B0NS8T3187,0,High Buy Box,361,555,3.05,11,292.15,49.73
2023-08-01,B0NS8T3187,0,Low Buy Box,162,213,13.58,22,907.26,36.45
2023-09-01,B0NS8T3187,0,Low Buy Box,1388,1814,1.87,26,622.83,90.72
2023-10-01,B0NS8T3187,0,Low Buy Box,297,395,7.41,22,1095.98,37.12
2023-11-01,B0NS8T3187,0,High Buy Box,329,390,2.13,7,389.63,82.88
2023-12-01,B0NS8T3187,0,High Buy Box,83,114,25.3,21,356.94,19.3
2024-01-01,B0NS8T3187,0,High Buy Box,1183,1370,0.0,0,0.0,28.52
2022-04-01,B0722SWB4V,0,Low Buy Box,606,716,8.42,51,975.07,66.12
2022-05-01,B0722SWB4V,0,Low Buy Box,1539,2020,3.18,49,2954.5,64.66
2022-06-01,B0722SWB4V,0,Low Buy Box,505,714,3.96,20,841.9,59.71
2022-07-01,B0722SWB4V,0,High Buy Box,2196,2817,0.46,10,154.01,10.85
2022-08-01,B0722SWB4V,0,High Buy Box,498,730,7.23,36,1188.98,34.41
2022-09-01,B0722SWB4V,0,High Buy Box,1615,1726,2.54,41,1094.6,23.2
2022-10-01,B0722SWB4V,0,Low Buy Box,1000,1212,2.9,29,1394.84,47.62
2022-11-01,B0722SWB4V,0,High Buy Box,316,408,13.92,44,2681.48,6.15
2022-12-01,B0722SWB4V,0,Low Buy Box,4386,4787,0.07,3,102.63,77.83
2023-01-01,B0722SWB4V,0,High Buy Box,564,683,3.37,19,362.76,81.53
2023-02-01,B0722SWB4V,0,Low Buy Box,938,1265,1.49,14,277.18,14.43
2023-03-01,B0722SWB4V,0,Low Buy Box,5077,7146,0.32,16,746.11,48.73
2023-04-01,B0722SWB4V,0,Low Buy Box,2999,3407,1.27,38,1439.37,59.56
2023-05-01,B0722SWB4V,0,Low Buy Box,1021,1164,2.06,21,1092.13,54.81
2023-06-01,B0722SWB4V,0,High Buy Box,268,301,3.36,9,308.55,78.11
2023-07-01,B0722SWB4V,0,Low Buy Box,5625,6339,0.52,29,743.75,28.69
2023-08-01,B0722SWB4V,0,High Buy Box,1755,2658,0.4,7,280.27,69.0
2023-09-01,B0722SWB4V,0,Low Buy Box,1874,2205,0.32,6,205.03,45.23
2023-10-01,B0722SWB4V,0,Low Buy Box,541,622,4.07,22,1247.58,81.96
2023-11-01,B0722SWB4V,0,High Buy Box,478,656,9.21,44,997.16,54.12
2023-12-01,B0722SWB4V,0,High Buy Box,640,751,1.09,7,241.85,56.75
2024-01-01,B0722SWB4V,0,Low Buy Box,771,1126,0.13,1,32.74,27.42
2022-04-01,B0TXBBEFL1,0,Low Buy Box,1074,1364,9.12,98,1813.61,12.12
2022-05-01,B0TXBBEFL1,0,Low Buy Box,861,1239,3.25,28,655.27,53.08
2022-06-01,B0TXBBEFL1,0,Low Buy Box,926,1288,2.38,22,814.69,65.45
2022-07-01,B0TXBBEFL1,0,Low Buy Box,251,304,5.98,15,229.38,57.55
2022-08-01,B0TXBBEFL1,0,Low Buy Box,278,412,1.44,4,111.47,51.09
2022-09-01,B0TXBBEFL1,0,Low Buy Box,222,311,17.57,39,1881.65,61.73
2022-10-01,B0TXBBEFL1,0,Low Buy Box,1615,1897,0.25,4,137.2,39.65
2022-11-01,B0TXBBEFL1,0,Low Buy Box,1496,2011,0.27,4,112.25,4.79
2022-12-01,B0TXBBEFL1,0,Low Buy Box,1209,1747,1.16,14,360.16,42.62
2023-01-01,B0TXBBEFL1,0,Low Buy Box,16079,18916,0.09,14,553.28,18.48
2023-02-01,B0TXBBEFL1,0,High Buy Box,567,813,0.35,2,97.22,54.23
2023-03-01,B0TXBBEFL1,0,Low Buy Box,635,882,5.51,35,1310.91,74.41
2023-04-01,B0TXBBEFL1,0,High Buy Box,1785,1900,3.98,71,2764.96,73.65
2023-05-01,B0TXBBEFL1,0,High Buy Box,3445,4273,0.87,30,1704.72,62.23
2023-06-01,B0TXBBEFL1,0,Low Buy Box,655,866,1.07,7,266.21,48.81
2023-07-01,B0TXBBEFL1,0,High Buy Box,1271,1419,0.79,10,561.84,40.62
2023-08-01,B0TXBBEFL1,0,Low Buy Box,910,1367,0.33,3,154.48,72.34
2023-09-01,B0TXBBEFL1,0,High Buy Box,605,883,2.48,15,603.95,65.33
2023-10-01,B0TXBBEFL1,0,Low Buy Box,1505,2201,1.53,23,973.37,33.18
2023-11-01,B0TXBBEFL1,0,Low Buy Box,2000,2557,3.85,77,1768.47,6.51
2023-12-01,B0TXBBEFL1,0,Low Buy Box,619,950,0.16,1,44.29,29.52
2024-01-01,B0TXBBEFL1,0,Low Buy Box,2516,3858,0.68,17,814.04,86.29
2022-04-01,B0B9D9L679,0,Low Buy Box,1326,1792,3.24,43,2396.33,53.89
2022-05-01,B0B9D9L679,0,Low Buy Box,1850,1981,0.54,10,360.89,28.06
2022-06-01,B0B9D9L679,0,Low Buy Box,5170,6174,0.12,6,241.21,56.28
2022-07-01,B0B9D9L679,0,Low Buy Box,1362,1588,1.1,15,632.1,68.25
2022-08-01,B0B9D9L679,0,Low Buy Box,1528,2142,0.79,12,560.03,82.37
2022-09-01,B0B9D9L679,0,High Buy Box,805,1070,1.61,13,300.79,49.3
2022-10-01,B0B9D9L679,0,Low Buy Box,4251,6395,0.33,14,608.92,32.65
2022-11-01,B0B9D9L679,0,Low Buy Box,1431,1703,1.12,16,653.7,70.43
2022-12-01,B0B9D9L679,0,High Buy Box,1373,1808,1.31,18,943.6,48.23
2023-01-01,B0B9D9L679,0,Low Buy Box,1175,1695,0.17,2,69.28,65.64
2023-02-01,B0B9D9L679,0,High Buy Box,1269,1674,0.39,5,114.55,45.99
2023-03-01,B0B9D9L679,0,High Buy Box,578,643,1.04,6,308.92,75.9
2023-04-01,B0B9D9L679,0,High Buy Box,514,756,0.39,2,77.75,65.15
2023-05-01,B0B9D9L679,0,High Buy Box,1300,1585,2.38,31,1798.85,30.91
2023-06-01,B0B9D9L679,0,Low Buy Box,11250,15402,0.07,8,255.81,21.38
2023-07-01,B0B9D9L679,0,High Buy Box,10742,14817,0.36,39,2416.67,22.74
2023-08-01,B0B9D9L679,0,Low Buy Box,10656,15512,0.07,7,172.42,16.59
2023-09-01,B0B9D9L679,0,Low Buy Box,2195,3001,1.64,36,1439.57,41.47
2023-10-01,B0B9D9L679,0,High Buy Box,1989,2647,2.71,54,1426.31,48.2
2023-11-01,B0B9D9L679,0,Low Buy Box,1341,1897,1.27,17,1004.01,72.92
2023-12-01,B0B9D9L679,0,High Buy Box,531,625,2.45,13,427.26,48.2
2024-01-01,B0B9D9L679,0,High Buy Box,7561,8883,0.4,30,1028.2,36.73
2022-04-01,B0C4WD1XR0,0,High Buy Box,1531,2289,0.46,7,220.63,11.88
2022-05-01,B0C4WD1XR0,0,Low Buy Box,296,439,1.01,3,131.41,56.27
2022-06-01,B0C4WD1XR0,0,High Buy Box,463,584,0.86,4,135.46,22.32
2022-07-01,B0C4WD1XR0,0,Low Buy Box,8215,9686,0.18,15,432.4,52.97
2022-08-01,B0C4WD1XR0,0,Low Buy Box,1948,2930,0.0,0,0.0,39.82
2022-09-01,B0C4WD1XR0,0,Low Buy Box,2626,2877,0.08,2,102.96,7.86
2022-10-01,B0C4WD1XR0,0,Low Buy Box,1440,1932,2.5,36,1164.34,64.17
2022-11-01,B0C4WD1XR0,0,High Buy Box,867,1216,6.92,60,2536.39,55.96
2022-12-01,B0C4WD1XR0,0,High Buy Box,470,607,3.62,17,344.47,19.82
2023-01-01,B0C4WD1XR0,0,Low Buy Box,2154,3303,0.97,21,906.61,63.15
2023-02-01,B0C4WD1XR0,0,Low Buy Box,649,978,2.77,18,580.17,25.75
2023-03-01,B0C4WD1XR0,0,High Buy Box,6763,8573,0.62,42,1801.21,35.35
2023-04-01,B0C4WD1XR0,0,High Buy Box,5984,6658,0.08,5,99.15,60.92
2023-05-01,B0C4WD1XR0,0,High Buy Box,1792,2306,2.23,40,1878.55,54.25
2023-06-01,B0C4WD1XR0,0,Low Buy Box,717,827,0.14,1,39.38,52.89
2023-07-01,B0C4WD1XR0,0,Low Buy Box,240,328,15.42,37,640.24,31.31
2023-08-01,B0C4WD1XR0,0,High Buy Box,925,1267,2.27,21,742.31,56.45
2023-09-01,B0C4WD1XR0,0,Low Buy Box,10788,11410,0.2,22,545.25,54.74
2023-10-01,B0C4WD1XR0,0,High Buy Box,9403,11429,0.1,9,353.39,34.11
2023-11-01,B0C4WD1XR0,0,Low Buy Box,2397,3471,0.75,18,698.5,32.03
2023-12-01,B0C4WD1XR0,0,Low Buy Box,4626,6191,0.69,32,1413.11,28.3
2024-01-01,B0C4WD1XR0,0,Low Buy Box,1747,1979,1.2,21,1280.79,28.11
2022-04-01,B0LVRCBQ53,0,Low Buy Box,5498,7838,0.6,33,2015.16,93.69
2022-05-01,B0LVRCBQ53,0,High Buy Box,6057,7128,0.3,18,779.63,71.64
2022-06-01,B0LVRCBQ53,0,Low Buy Box,1811,1994,1.21,22,679.29,42.79
2022-07-01,B0LVRCBQ53,0,High Buy Box,3484,4309,0.57,20,314.24,60.97
2022-08-01,B0LVRCBQ53,0,Low Buy Box,420,453,3.33,14,318.87,42.04
2022-09-01,B0LVRCBQ53,0,Low Buy Box,3919,4365,0.48,19,1174.46,50.15
2022-10-01,B0LVRCBQ53,0,Low Buy Box,518,603,9.65,50,2029.97,72.84
2022-11-01,B0LVRCBQ53,0,Low Buy Box,1674,2513,1.55,26,895.71,73.91
2022-12-01,B0LVRCBQ53,0,High Buy Box,4031,4854,0.07,3,139.13,28.77
2023-01-01,B0LVRCBQ53,0,Low Buy Box,2318,3371,1.68,39,631.07,69.94
2023-02-01,B0LVRCBQ53,0,Low Buy Box,2352,2558,0.72,17,440.87,30.56
2023-03-01,B0LVRCBQ53,0,Low Buy Box,150,188,20.67,31,1181.04,33.45
2023-04-01,B0LVRCBQ53,0,Low Buy Box,669,1007,7.62,51,797.84,17.12
2023-05-01,B0LVRCBQ53,0,Low Buy Box,3050,3293,0.62,19,409.88,86.85
2023-06-01,B0LVRCBQ53,0,High Buy Box,243,372,2.47,6,302.3,81.92
2023-07-01,B0LVRCBQ53,0,Low Buy Box,1303,1683,0.31,4,73.49,35.06
2023-08-01,B0LVRCBQ53,0,Low Buy Box,53,70,16.98,9,319.77,29.64
2023-09-01,B0LVRCBQ53,0,Low Buy Box,4654,5833,0.43,20,403.17,17.95
2023-10-01,B0LVRCBQ53,0,High Buy Box,4296,6287,0.33,14,665.05,60.04
2023-11-01,B0LVRCBQ53,0,Low Buy Box,797,889,1.63,13,643.73,36.73
2023-12-01,B0LVRCBQ53,0,High Buy Box,1248,1800,2.64,33,580.11,17.51
2024-01-01,B0LVRCBQ53,0,Low Buy Box,1976,2373,0.25,5,162.66,56.75
2022-04-01,B0ZLKWJ9ND,0,High Buy Box,661,856,0.15,1,15.13,67.53
2022-05-01,B0ZLKWJ9ND,0,Low Buy Box,3975,5088,0.23,9,175.89,70.39
2022-06-01,B0ZLKWJ9ND,0,High Buy Box,3017,3374,2.25,68,1739.73,34.6
2022-07-01,B0ZLKWJ9ND,0,Low Buy Box,7727,8273,0.49,38,2136.39,25.5
2022-08-01,B0ZLKWJ9ND,0,Low Buy Box,199,259,14.57,29,797.29,39.83
2022-09-01,B0ZLKWJ9ND,0,High Buy Box,2381,2550,0.5,12,344.2,1.34
2022-10-01,B0ZLKWJ9ND,0,Low Buy Box,1398,2140,2.15,30,1555.54,45.76
2022-11-01,B0ZLKWJ9ND,0,Low Buy Box,3241,4672,0.34,11,253.08,36.43
2022-12-01,B0ZLKWJ9ND,0,Low Buy Box,4785,5704,2.74,131,2627.47,52.07
2023-01-01,B0ZLKWJ9ND,0,Low Buy Box,496,695,1.81,9,369.59,54.3
2023-02-01,B0ZLKWJ9ND,0,High Buy Box,620,867,0.16,1,42.0,30.12
2023-03-01,B0ZLKWJ9ND,0,Low Buy Box,47,56,42.55,20,901.59,67.67
2023-04-01,B0ZLKWJ9ND,0,Low Buy Box,3168,3369,0.22,7,345.39,16.63
2023-05-01,B0ZLKWJ9ND,0,High Buy Box,730,941,2.88,21,773.74,71.28
2023-06-01,B0ZLKWJ9ND,0,Low Buy Box,297,336,13.13,39,2198.67,53.39
2023-07-01,B0ZLKWJ9ND,0,Low Buy Box,101,139,17.82,18,559.29,53.9
2023-08-01,B0ZLKWJ9ND,0,Low Buy Box,2730,4168,1.17,32,1139.32,69.62
2023-09-01,B0ZLKWJ9ND,0,High Buy Box,1097,1169,0.18,2,68.8,46.93
2023-10-01,B0ZLKWJ9ND,0,High Buy Box,2710,3393,0.74,20,894.61,66.01
2023-11-01,B0ZLKWJ9ND,0,Low Buy Box,2688,3020,0.04,1,32.93,54.49
2023-12-01,B0ZLKWJ9ND,0,Low Buy Box,5257,7045,0.19,10,310.62,41.94
2024-01-01,B0ZLKWJ9ND,0,Low Buy Box,397,558,3.27,13,671.02,8.0
2022-04-01,B01VBSN1GN,0,Low Buy Box,1094,1624,1.01,11,172.6,44.98
2022-05-01,B01VBSN1GN,0,High Buy Box,3255,3459,0.89,29,578.87,40.5
2022-06-01,B01VBSN1GN,0,Low Buy Box,1027,1346,2.04,21,1026.59,34.28
2022-07-01,B01VBSN1GN,0,High Buy Box,2972,4018,0.27,8,236.82,36.3
2022-08-01,B01VBSN1GN,0,High Buy Box,5619,7508,0.21,12,343.25,81.89
2022-09-01,B01VBSN1GN,0,Low Buy Box,8239,12594,0.05,4,104.21,89.8
2022-10-01,B01VBSN1GN,0,Low Buy Box,5988,8444,0.07,4,160.68,50.19
2022-11-01,B01VBSN1GN,0,Low Buy Box,697,950,0.43,3,59.97,51.11
2022-12-01,B01VBSN1GN,0,Low Buy Box,803,1030,0.75,6,126.0,12.61
2023-01-01,B01VBSN1GN,0,Low Buy Box,572,659,5.59,32,1563.12,39.66
2023-02-01,B01VBSN1GN,0,High Buy Box,1903,2467,4.26,81,2028.53,5.9
2023-03-01,B01VBSN1GN,0,High Buy Box,2551,3744,0.31,8,365.38,67.71
2023-04-01,B01VBSN1GN,0,Low Buy Box,426,552,5.4,23,498.0,12.01
2023-05-01,B01VBSN1GN,0,Low Buy Box,4589,5246,0.33,15,706.68,47.46
2023-06-01,B01VBSN1GN,0,Low Buy Box,3495,5350,0.29,10,475.08,59.65
2023-07-01,B01VBSN1GN,0,Low Buy Box,4212,5317,0.02,1,58.93,42.25
2023-08-01,B01VBSN1GN,0,High Buy Box,708,828,1.55,11,323.82,6.55
2023-09-01,B01VBSN1GN,0,Low Buy Box,1439,1819,0.42,6,208.58,48.7
2023-10-01,B01VBSN1GN,0,High Buy Box,1043,1378,7.09,74,2404.67,2.26
2023-11-01,B01VBSN1GN,0,Low Buy Box,2176,3004,2.21,48,2479.85,49.41
2023-12-01,B01VBSN1GN,0,Low Buy Box,2489,3514,0.28,7,353.87,77.0
2024-01-01,B01VBSN1GN,0,Low Buy Box,3690,4628,0.54,20,951.19,48.58
2022-04-01,B05G34JWDR,0,Low Buy Box,6209,7338,0.66,41,2158.99,39.85
2022-05-01,B05G34JWDR,0,Low Buy Box,5358,8090,0.13,7,251.83,55.47
2022-06-01,B05G34JWDR,0,Low Buy Box,1543,1991,1.36,21,434.36,84.39
2022-07-01,B05G34JWDR,0,Low Buy Box,2080,2825,1.54,32,1873.05,23.28
2022-08-01,B05G34JWDR,0,Low Buy Box,286,410,5.24,15,384.36,6.37
2022-09-01,B05G34JWDR,0,High Buy Box,181,224,11.05,20,315.54,43.08
2022-10-01,B05G34JWDR,0,Low Buy Box,1138,1236,0.53,6,105.61,58.83
2022-11-01,B05G34JWDR,0,Low Buy Box,4431,6717,0.56,25,1042.66,52.08
2022-12-01,B05G34JWDR,0,High Buy Box,2448,3641,2.21,54,2059.74,76.43
2023-01-01,B05G34JWDR,0,Low Buy Box,2390,3233,0.88,21,1024.01,24.8
2023-02-01,B05G34JWDR,0,Low Buy Box,768,920,1.04,8,257.82,28.77
2023-03-01,B05G34JWDR,0,Low Buy Box,786,1101,3.69,29,931.05,36.82
2023-04-01,B05G34JWDR,0,High Buy Box,2125,2685,0.38,8,292.97,20.24
2023-05-01,B05G34JWDR,0,Low Buy Box,8007,10463,0.01,1,10.6,62.87
