Start Date,End Date,Start Time,Portfolio name,Campaign Name,Budget,Targeting Type,Bidding strategy,Impressions,Clicks,Click-Thru Rate (CTR),Spend,Cost Per Click (CPC),Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS)
2023-09-27,2023-09-27,18,Portfolio 004,Campaign 001,8.58,Manual targeting,Dynamic bids - down only,8,0,0.0,0.0,0.0,0.0809,12.3609
2023-09-18,2023-09-18,17,Portfolio 004,Campaign 001,6.62,Manual targeting,Dynamic bids - down only,103,0,0.0,0.0,0.0,0.0653,15.3139
2023-09-18,2023-09-18,17,Portfolio 001,Campaign 002,5.66,Manual targeting,Dynamic bids - down only,239,0,0.0,0.0,0.0,0.0358,27.933
2023-09-24,2023-09-24,1,Portfolio 002,Campaign 001,1.88,Manual targeting,Dynamic bids - down only,55,1,0.018182,1.72,1.72,0.035,28.5714
2023-09-22,2023-09-22,8,Portfolio 006,Campaign 001,10.18,Manual targeting,Dynamic bids - down only,223,1,0.004484,1.98,1.98,0.0896,11.1607
2023-09-16,2023-09-16,8,Portfolio 006,Campaign 003,1.01,Manual targeting,Dynamic bids - down only,283,1,0.003534,2.65,2.65,0.0113,88.4956
2023-09-24,2023-09-24,0,Portfolio 002,Campaign 001,4.03,Manual targeting,Dynamic bids - down only,135,0,0.0,0.0,0.0,0.0012,833.3333
2023-09-25,2023-09-25,4,Portfolio 006,Campaign 004,3.65,Manual targeting,Dynamic bids - down only,195,1,0.005128,2.08,2.08,0.0647,15.456
2023-09-21,2023-09-21,3,Portfolio 006,Campaign 001,2.47,Manual targeting,Dynamic bids - down only,99,0,0.0,0.0,0.0,0.0237,42.1941
2023-09-17,2023-09-17,12,Portfolio 001,Campaign 004,3.09,Manual targeting,Dynamic bids - down only,34,1,0.029412,2.47,2.47,0.0554,18.0505
2023-09-19,2023-09-19,9,Portfolio 006,Campaign 004,4.52,Manual targeting,Dynamic bids - down only,255,1,0.003922,1.7,1.7,0.0051,196.0784
2023-09-26,2023-09-26,2,Portfolio 002,Campaign 005,2.39,Manual targeting,Dynamic bids - down only,328,0,0.0,0.0,0.0,0.0126,79.3651
2023-09-23,2023-09-23,1,Portfolio 006,Campaign 002,2.54,Manual targeting,Dynamic bids - down only,304,0,0.0,0.0,0.0,0.0096,104.1667
2023-09-17,2023-09-17,13,Portfolio 004,Campaign 004,4.28,Manual targeting,Dynamic bids - down only,330,1,0.00303,1.23,1.23,0.0577,17.331
2023-09-18,2023-09-18,20,Portfolio 006,Campaign 003,10.57,Manual targeting,Dynamic bids - down only,280,0,0.0,0.0,0.0,0.0306,32.6797
2023-09-24,2023-09-24,1,Portfolio 003,Campaign 001,10.03,Manual targeting,Dynamic bids - down only,73,0,0.0,0.0,0.0,0.0636,15.7233
2023-09-17,2023-09-17,3,Portfolio 006,Campaign 001,5.51,Automatic targeting,Dynamic bids - down only,248,1,0.004032,1.84,1.84,0.061,16.3934
2023-09-26,2023-09-26,0,Portfolio 006,Campaign 001,7.87,Automatic targeting,Dynamic bids - down only,63,1,0.015873,1.19,1.19,0.0019,526.3158
2023-09-18,2023-09-18,14,Portfolio 004,Campaign 005,8.24,Manual targeting,Dynamic bids - down only,167,0,0.0,0.0,0.0,0.0968,10.3306
2023-09-24,2023-09-24,10,Portfolio 002,Campaign 001,2.95,Automatic targeting,Dynamic bids - down only,73,1,0.013699,2.6,2.6,0.063,15.873
2023-09-21,2023-09-21,1,Portfolio 001,Campaign 001,9.68,Manual targeting,Dynamic bids - down only,367,0,0.0,0.0,0.0,0.0587,17.0358
2023-09-25,2023-09-25,5,Portfolio 006,Campaign 005,3.83,Automatic targeting,Dynamic bids - down only,114,1,0.008772,1.33,1.33,0.0513,19.4932
2023-09-16,2023-09-16,22,Portfolio 006,Campaign 001,2.43,Manual targeting,Dynamic bids - down only,103,0,0.0,0.0,0.0,0.0437,22.8833
2023-09-23,2023-09-23,9,Portfolio 006,Campaign 001,3.68,Manual targeting,Dynamic bids - down only,225,1,0.004444,1.9,1.9,0.0797,12.5471
2023-09-15,2023-09-15,17,Portfolio 001,Campaign 004,9.36,Automatic targeting,Dynamic bids - down only,187,1,0.005348,1.44,1.44,0.044,22.7273
2023-09-17,2023-09-17,1,Portfolio 003,Campaign 001,1.39,Manual targeting,Dynamic bids - down only,352,0,0.0,0.0,0.0,0.0972,10.2881
2023-09-16,2023-09-16,20,Portfolio 003,Campaign 001,5.47,Automatic targeting,Dynamic bids - down only,21,1,0.047619,1.18,1.18,0.0814,12.285
2023-09-22,2023-09-22,13,Portfolio 006,Campaign 003,7.76,Manual targeting,Dynamic bids - down only,276,0,0.0,0.0,0.0,0.0483,20.7039
2023-09-15,2023-09-15,11,Portfolio 006,Campaign 003,3.25,Manual targeting,Dynamic bids - down only,350,1,0.002857,2.69,2.69,0.0559,17.8891
2023-09-22,2023-09-22,18,Portfolio 006,Campaign 005,4.92,Manual targeting,Dynamic bids - down only,207,0,0.0,0.0,0.0,0.0906,11.0375
2023-09-27,2023-09-27,16,Portfolio 006,Campaign 005,6.48,Manual targeting,Dynamic bids - down only,197,1,0.005076,2.09,2.09,0.044,22.7273
2023-09-14,2023-09-14,7,Portfolio 006,Campaign 001,4.31,Automatic targeting,Dynamic bids - down only,240,0,0.0,0.0,0.0,0.011,90.9091
2023-09-26,2023-09-26,7,Portfolio 006,Campaign 001,10.24,Manual targeting,Dynamic bids - down only,184,1,0.005435,2.29,2.29,0.0136,73.5294
2023-09-15,2023-09-15,15,Portfolio 006,Campaign 002,10.84,Automatic targeting,Dynamic bids - down only,208,0,0.0,0.0,0.0,0.0373,26.8097
2023-09-22,2023-09-22,15,Portfolio 001,Campaign 002,7.57,Manual targeting,Dynamic bids - down only,128,1,0.007812,1.48,1.48,0.0198,50.5051
2023-09-25,2023-09-25,13,Portfolio 006,Campaign 005,6.44,Manual targeting,Dynamic bids - down only,236,0,0.0,0.0,0.0,0.0623,16.0514
2023-09-14,2023-09-14,17,Portfolio 006,Campaign 003,8.85,Manual targeting,Dynamic bids - down only,95,1,0.010526,2.25,2.25,0.0893,11.1982
2023-09-26,2023-09-26,10,Portfolio 004,Campaign 004,10.34,Manual targeting,Dynamic bids - down only,58,1,0.017241,1.68,1.68,0.0675,14.8148
2023-09-21,2023-09-21,11,Portfolio 006,Campaign 001,2.67,Automatic targeting,Dynamic bids - down only,354,1,0.002825,1.83,1.83,0.0076,131.5789
2023-09-26,2023-09-26,20,Portfolio 006,Campaign 004,6.61,Manual targeting,Dynamic bids - down only,308,0,0.0,0.0,0.0,0.0949,10.5374
2023-09-22,2023-09-22,10,Portfolio 006,Campaign 005,6.55,Manual targeting,Dynamic bids - down only,66,0,0.0,0.0,0.0,0.0114,87.7193
2023-09-21,2023-09-21,16,Portfolio 004,Campaign 001,4.38,Manual targeting,Dynamic bids - down only,98,1,0.010204,1.39,1.39,0.0482,20.7469
2023-09-14,2023-09-14,3,Portfolio 003,Campaign 001,2.29,Automatic targeting,Dynamic bids - down only,114,0,0.0,0.0,0.0,0.0435,22.9885
2023-09-19,2023-09-19,11,Portfolio 006,Campaign 004,6.95,Manual targeting,Dynamic bids - down only,285,1,0.003509,2.67,2.67,0.0964,10.3734
2023-09-17,2023-09-17,17,Portfolio 001,Campaign 003,7.64,Automatic targeting,Dynamic bids - down only,269,0,0.0,0.0,0.0,0.0101,99.0099
2023-09-23,2023-09-23,12,Portfolio 006,Campaign 003,6.9,Manual targeting,Dynamic bids - down only,224,0,0.0,0.0,0.0,0.0539,18.5529
2023-09-23,2023-09-23,5,Portfolio 006,Campaign 001,4.75,Automatic targeting,Dynamic bids - up and down,37,0,0.0,0.0,0.0,0.0124,80.6452
2023-09-16,2023-09-16,15,Portfolio 006,Campaign 003,8.5,Manual targeting,Dynamic bids - down only,288,0,0.0,0.0,0.0,0.0136,73.5294
2023-09-26,2023-09-26,14,Portfolio 004,Campaign 005,8.63,Manual targeting,Dynamic bids - down only,44,0,0.0,0.0,0.0,0.0233,42.9185
2023-09-20,2023-09-20,1,Portfolio 006,Campaign 005,5.77,Manual targeting,Dynamic bids - down only,377,1,0.002653,2.56,2.56,0.0,0.0
2023-09-23,2023-09-23,6,Portfolio 003,Campaign 003,5.87,Manual targeting,Dynamic bids - down only,343,0,0.0,0.0,0.0,0.0974,10.2669
2023-09-15,2023-09-15,6,Portfolio 006,Campaign 003,10.83,Manual targeting,Dynamic bids - down only,131,0,0.0,0.0,0.0,0.0253,39.5257
2023-09-14,2023-09-14,2,Portfolio 006,Campaign 005,3.54,Manual targeting,Dynamic bids - down only,155,0,0.0,0.0,0.0,0.0176,56.8182
2023-09-17,2023-09-17,5,Portfolio 003,Campaign 002,8.5,Manual targeting,Dynamic bids - down only,121,1,0.008264,1.39,1.39,0.0603,16.5837
2023-09-18,2023-09-18,8,Portfolio 006,Campaign 003,5.61,Manual targeting,Dynamic bids - down only,10,0,0.0,0.0,0.0,0.0776,12.8866
2023-09-16,2023-09-16,14,Portfolio 006,Campaign 001,9.76,Manual targeting,Dynamic bids - down only,326,1,0.003067,2.31,2.31,0.0641,15.6006
2023-09-17,2023-09-17,17,Portfolio 001,Campaign 001,1.38,Manual targeting,Dynamic bids - down only,50,0,0.0,0.0,0.0,0.0973,10.2775
2023-09-20,2023-09-20,10,Portfolio 006,Campaign 004,7.92,Automatic targeting,Dynamic bids - down only,207,0,0.0,0.0,0.0,0.049,20.4082
2023-09-27,2023-09-27,23,Portfolio 004,Campaign 004,4.95,Manual targeting,Dynamic bids - down only,87,0,0.0,0.0,0.0,0.0,0.0
2023-09-15,2023-09-15,16,Portfolio 003,Campaign 004,1.04,Automatic targeting,Dynamic bids - down only,373,1,0.002681,1.07,1.07,0.0638,15.674
2023-09-21,2023-09-21,13,Portfolio 006,Campaign 003,4.66,Manual targeting,Dynamic bids - down only,69,0,0.0,0.0,0.0,0.053,18.8679
2023-09-18,2023-09-18,9,Portfolio 006,Campaign 005,4.3,Manual targeting,Dynamic bids - down only,254,0,0.0,0.0,0.0,0.0663,15.083
2023-09-18,2023-09-18,17,Portfolio 004,Campaign 004,10.1,Manual targeting,Dynamic bids - down only,315,1,0.003175,1.16,1.16,0.076,13.1579
2023-09-16,2023-09-16,9,Portfolio 003,Campaign 004,9.52,Manual targeting,Dynamic bids - down only,235,0,0.0,0.0,0.0,0.0329,30.3951
2023-09-20,2023-09-20,23,Portfolio 006,Campaign 004,7.23,Automatic targeting,Dynamic bids - down only,296,1,0.003378,2.44,2.44,0.0365,27.3973
2023-09-21,2023-09-21,10,Portfolio 006,Campaign 005,8.49,Manual targeting,Dynamic bids - down only,348,1,0.002874,1.24,1.24,0.0139,71.9424
2023-09-17,2023-09-17,5,Portfolio 006,Campaign 005,10.07,Manual targeting,Dynamic bids - down only,110,1,0.009091,1.19,1.19,0.0624,16.0256
2023-09-14,2023-09-14,22,Portfolio 006,Campaign 002,9.3,Manual targeting,Dynamic bids - down only,330,1,0.00303,2.17,2.17,0.0032,312.5
2023-09-23,2023-09-23,22,Portfolio 004,Campaign 002,2.63,Manual targeting,Dynamic bids - down only,15,1,0.066667,2.72,2.72,0.0419,23.8663
2023-09-19,2023-09-19,6,Portfolio 006,Campaign 002,3.5,Manual targeting,Dynamic bids - down only,276,0,0.0,0.0,0.0,0.0064,156.25
2023-09-23,2023-09-23,19,Portfolio 006,Campaign 005,2.19,Automatic targeting,Dynamic bids - down only,225,1,0.004444,2.67,2.67,0.0573,17.452
2023-09-18,2023-09-18,20,Portfolio 006,Campaign 005,1.56,Manual targeting,Dynamic bids - down only,270,0,0.0,0.0,0.0,0.0275,36.3636
2023-09-18,2023-09-18,23,Portfolio 003,Campaign 002,8.88,Manual targeting,Dynamic bids - down only,377,0,0.0,0.0,0.0,0.0778,12.8535
2023-09-18,2023-09-18,1,Portfolio 006,Campaign 003,9.29,Automatic targeting,Dynamic bids - down only,359,1,0.002786,2.35,2.35,0.0275,36.3636
2023-09-22,2023-09-22,21,Portfolio 001,Campaign 002,1.86,Automatic targeting,Dynamic bids - down only,105,1,0.009524,2.06,2.06,0.0541,18.4843
2023-09-22,2023-09-22,20,Portfolio 006,Campaign 003,7.21,Automatic targeting,Dynamic bids - down only,285,1,0.003509,1.56,1.56,0.0604,16.5563
2023-09-16,2023-09-16,14,Portfolio 006,Campaign 005,1.06,Manual targeting,Dynamic bids - up and down,306,1,0.003268,1.73,1.73,0.0148,67.5676
2023-09-18,2023-09-18,12,Portfolio 004,Campaign 002,5.69,Manual targeting,Dynamic bids - up and down,282,1,0.003546,2.12,2.12,0.0612,16.3399
2023-09-17,2023-09-17,19,Portfolio 006,Campaign 004,5.83,Manual targeting,Dynamic bids - down only,119,0,0.0,0.0,0.0,0.0766,13.0548
2023-09-14,2023-09-14,3,Portfolio 006,Campaign 003,2.53,Automatic targeting,Dynamic bids - down only,278,1,0.003597,2.16,2.16,0.0943,10.6045
2023-09-22,2023-09-22,9,Portfolio 006,Campaign 004,4.26,Manual targeting,Dynamic bids - down only,172,0,0.0,0.0,0.0,0.0395,25.3165
2023-09-25,2023-09-25,22,Portfolio 006,Campaign 004,8.0,Manual targeting,Dynamic bids - down only,290,1,0.003448,1.43,1.43,0.0854,11.7096
2023-09-18,2023-09-18,23,Portfolio 006,Campaign 005,5.85,Manual targeting,Dynamic bids - down only,333,1,0.003003,2.58,2.58,0.0709,14.1044
2023-09-14,2023-09-14,16,Portfolio 006,Campaign 002,4.73,Manual targeting,Dynamic bids - down only,275,1,0.003636,2.11,2.11,0.0616,16.2338
2023-09-24,2023-09-24,18,Portfolio 006,Campaign 005,5.08,Manual targeting,Dynamic bids - down only,123,0,0.0,0.0,0.0,0.002,500.0
2023-09-20,2023-09-20,2,Portfolio 006,Campaign 005,2.22,Manual targeting,Dynamic bids - down only,132,0,0.0,0.0,0.0,0.0086,116.2791
2023-09-18,2023-09-18,10,Portfolio 003,Campaign 005,7.08,Automatic targeting,Dynamic bids - down only,148,0,0.0,0.0,0.0,0.0995,10.0503
2023-09-15,2023-09-15,18,Portfolio 003,Campaign 005,4.36,Automatic targeting,Dynamic bids - down only,308,0,0.0,0.0,0.0,0.0607,16.4745
2023-09-27,2023-09-27,21,Portfolio 006,Campaign 003,10.32,Manual targeting,Dynamic bids - down only,157,0,0.0,0.0,0.0,0.0597,16.7504
2023-09-26,2023-09-26,19,Portfolio 001,Campaign 003,2.03,Automatic targeting,Dynamic bids - down only,349,1,0.002865,1.49,1.49,0.0667,14.9925
2023-09-18,2023-09-18,18,Portfolio 002,Campaign 002,4.75,Manual targeting,Dynamic bids - down only,176,0,0.0,0.0,0.0,0.0712,14.0449
2023-09-26,2023-09-26,16,Portfolio 001,Campaign 002,7.13,Manual targeting,Dynamic bids - down only,256,0,0.0,0.0,0.0,0.0665,15.0376
2023-09-22,2023-09-22,14,Portfolio 002,Campaign 003,4.32,Manual targeting,Dynamic bids - down only,21,1,0.047619,1.95,1.95,0.0361,27.7008
2023-09-14,2023-09-14,5,Portfolio 004,Campaign 003,7.35,Manual targeting,Dynamic bids - down only,63,0,0.0,0.0,0.0,0.0375,26.6667
2023-09-18,2023-09-18,7,Portfolio 006,Campaign 005,6.18,Manual targeting,Dynamic bids - down only,197,0,0.0,0.0,0.0,0.0247,40.4858
2023-09-20,2023-09-20,8,Portfolio 003,Campaign 001,8.51,Manual targeting,Dynamic bids - down only,343,1,0.002915,1.73,1.73,0.0251,39.8406
2023-09-20,2023-09-20,2,Portfolio 006,Campaign 005,1.95,Automatic targeting,Dynamic bids - down only,206,1,0.004854,2.04,2.04,0.0743,13.459
2023-09-20,2023-09-20,9,Portfolio 006,Campaign 002,6.29,Manual targeting,Dynamic bids - down only,319,1,0.003135,1.46,1.46,0.0446,22.4215
2023-09-15,2023-09-15,10,Portfolio 002,Campaign 004,10.89,Manual targeting,Dynamic bids - down only,188,0,0.0,0.0,0.0,0.044,22.7273
2023-09-18,2023-09-18,19,Portfolio 003,Campaign 003,7.67,Manual targeting,Dynamic bids - down only,314,1,0.003185,2.49,2.49,0.0656,15.2439
2023-09-22,2023-09-22,0,Portfolio 003,Campaign 001,8.52,Automatic targeting,Dynamic bids - up and down,215,0,0.0,0.0,0.0,0.0186,53.7634
2023-09-19,2023-09-19,19,Portfolio 006,Campaign 001,5.98,Manual targeting,Dynamic bids - up and down,284,1,0.003521,1.51,1.51,0.0437,22.8833
2023-09-17,2023-09-17,18,Portfolio 006,Campaign 001,6.58,Manual targeting,Dynamic bids - down only,347,0,0.0,0.0,0.0,0.0932,10.7296
2023-09-22,2023-09-22,5,Portfolio 006,Campaign 001,2.96,Manual targeting,Dynamic bids - down only,62,1,0.016129,2.31,2.31,0.0159,62.8931
2023-09-17,2023-09-17,9,Portfolio 004,Campaign 003,9.99,Manual targeting,Dynamic bids - down only,71,0,0.0,0.0,0.0,0.046,21.7391
2023-09-16,2023-09-16,8,Portfolio 006,Campaign 003,1.79,Manual targeting,Dynamic bids - up and down,207,1,0.004831,1.13,1.13,0.0834,11.9904
2023-09-20,2023-09-20,14,Portfolio 006,Campaign 005,7.58,Manual targeting,Dynamic bids - down only,188,0,0.0,0.0,0.0,0.0903,11.0742
2023-09-22,2023-09-22,18,Portfolio 006,Campaign 003,2.17,Automatic targeting,Dynamic bids - down only,205,0,0.0,0.0,0.0,0.0974,10.2669
2023-09-22,2023-09-22,5,Portfolio 006,Campaign 005,1.77,Manual targeting,Dynamic bids - down only,121,1,0.008264,2.62,2.62,0.0609,16.4204
2023-09-14,2023-09-14,14,Portfolio 006,Campaign 002,4.04,Manual targeting,Dynamic bids - down only,101,1,0.009901,2.22,2.22,0.0378,26.455
2023-09-18,2023-09-18,15,Portfolio 001,Campaign 004,2.8,Manual targeting,Dynamic bids - down only,145,0,0.0,0.0,0.0,0.0983,10.1729
2023-09-27,2023-09-27,19,Portfolio 006,Campaign 001,5.56,Manual targeting,Dynamic bids - down only,327,1,0.003058,2.27,2.27,0.0035,285.7143
2023-09-15,2023-09-15,20,Portfolio 003,Campaign 004,1.49,Manual targeting,Dynamic bids - down only,233,1,0.004292,1.85,1.85,0.0911,10.9769
2023-09-20,2023-09-20,6,Portfolio 006,Campaign 003,9.13,Automatic targeting,Dynamic bids - down only,248,1,0.004032,1.12,1.12,0.0769,13.0039
2023-09-27,2023-09-27,0,Portfolio 002,Campaign 002,7.42,Manual targeting,Dynamic bids - down only,229,1,0.004367,2.28,2.28,0.0304,32.8947
2023-09-26,2023-09-26,18,Portfolio 006,Campaign 003,3.79,Manual targeting,Dynamic bids - down only,300,0,0.0,0.0,0.0,0.0333,30.03
2023-09-16,2023-09-16,9,Portfolio 006,Campaign 004,10.14,Manual targeting,Dynamic bids - down only,162,1,0.006173,1.18,1.18,0.063,15.873
2023-09-17,2023-09-17,11,Portfolio 006,Campaign 001,3.42,Manual targeting,Dynamic bids - down only,31,0,0.0,0.0,0.0,0.0132,75.7576
2023-09-18,2023-09-18,12,Portfolio 006,Campaign 004,8.36,Manual targeting,Dynamic bids - down only,135,1,0.007407,2.32,2.32,0.0993,10.0705
2023-09-20,2023-09-20,2,Portfolio 006,Campaign 005,7.57,Manual targeting,Dynamic bids - down only,280,0,0.0,0.0,0.0,0.0955,10.4712
2023-09-23,2023-09-23,12,Portfolio 006,Campaign 005,1.94,Manual targeting,Dynamic bids - down only,332,1,0.003012,1.79,1.79,0.0021,476.1905
2023-09-17,2023-09-17,4,Portfolio 006,Campaign 004,5.54,Automatic targeting,Dynamic bids - down only,87,1,0.011494,2.7,2.7,0.0111,90.0901
2023-09-25,2023-09-25,7,Portfolio 001,Campaign 005,2.97,Manual targeting,Dynamic bids - down only,44,1,0.022727,1.67,1.67,0.0875,11.4286
2023-09-22,2023-09-22,18,Portfolio 001,Campaign 001,4.82,Manual targeting,Dynamic bids - up and down,101,1,0.009901,1.43,1.43,0.0219,45.6621
2023-09-23,2023-09-23,17,Portfolio 006,Campaign 001,11.0,Manual targeting,Dynamic bids - down only,13,0,0.0,0.0,0.0,0.0233,42.9185
2023-09-26,2023-09-26,18,Portfolio 004,Campaign 004,1.73,Automatic targeting,Dynamic bids - down only,334,1,0.002994,1.49,1.49,0.0221,45.2489
2023-09-23,2023-09-23,2,Portfolio 002,Campaign 003,8.64,Manual targeting,Dynamic bids - down only,370,1,0.002703,2.24,2.24,0.024,41.6667
2023-09-15,2023-09-15,4,Portfolio 001,Campaign 001,10.39,Manual targeting,Dynamic bids - down only,220,1,0.004545,2.77,2.77,0.0137,72.9927
2023-09-21,2023-09-21,6,Portfolio 006,Campaign 004,9.7,Manual targeting,Dynamic bids - up and down,69,1,0.014493,2.64,2.64,0.0598,16.7224
2023-09-21,2023-09-21,0,Portfolio 001,Campaign 001,10.38,Manual targeting,Dynamic bids - down only,197,0,0.0,0.0,0.0,0.056,17.8571
2023-09-20,2023-09-20,1,Portfolio 002,Campaign 005,6.52,Manual targeting,Dynamic bids - down only,295,0,0.0,0.0,0.0,0.0952,10.5042
2023-09-24,2023-09-24,7,Portfolio 001,Campaign 002,6.58,Manual targeting,Dynamic bids - down only,351,1,0.002849,1.12,1.12,0.0459,21.7865
2023-09-25,2023-09-25,2,Portfolio 006,Campaign 003,8.14,Manual targeting,Dynamic bids - down only,74,0,0.0,0.0,0.0,0.0049,204.0816
2023-09-15,2023-09-15,2,Portfolio 004,Campaign 004,10.39,Manual targeting,Dynamic bids - down only,173,0,0.0,0.0,0.0,0.0795,12.5786
2023-09-23,2023-09-23,23,Portfolio 002,Campaign 004,8.58,Manual targeting,Dynamic bids - down only,227,1,0.004405,1.78,1.78,0.0833,12.0048
2023-09-22,2023-09-22,21,Portfolio 004,Campaign 003,5.25,Manual targeting,Dynamic bids - down only,188,1,0.005319,2.19,2.19,0.0457,21.8818
2023-09-17,2023-09-17,6,Portfolio 006,Campaign 003,3.15,Manual targeting,Dynamic bids - up and down,239,1,0.004184,2.42,2.42,0.0123,81.3008
2023-09-21,2023-09-21,14,Portfolio 006,Campaign 005,1.85,Manual targeting,Dynamic bids - down only,361,1,0.00277,2.3,2.3,0.0079,126.5823
2023-09-23,2023-09-23,11,Portfolio 006,Campaign 002,10.74,Manual targeting,Dynamic bids - down only,102,1,0.009804,1.75,1.75,0.0283,35.3357
2023-09-21,2023-09-21,15,Portfolio 004,Campaign 003,3.08,Manual targeting,Dynamic bids - down only,89,0,0.0,0.0,0.0,0.024,41.6667
2023-09-25,2023-09-25,5,Portfolio 006,Campaign 001,3.25,Manual targeting,Dynamic bids - up and down,196,0,0.0,0.0,0.0,0.0044,227.2727
2023-09-21,2023-09-21,12,Portfolio 001,Campaign 002,1.96,Manual targeting,Dynamic bids - down only,226,0,0.0,0.0,0.0,0.0401,24.9377
2023-09-17,2023-09-17,1,Portfolio 002,Campaign 001,10.86,Automatic targeting,Dynamic bids - down only,47,1,0.021277,2.53,2.53,0.0275,36.3636
2023-09-20,2023-09-20,5,Portfolio 006,Campaign 004,7.89,Automatic targeting,Dynamic bids - down only,331,1,0.003021,1.01,1.01,0.0867,11.534
2023-09-19,2023-09-19,9,Portfolio 006,Campaign 002,5.15,Manual targeting,Dynamic bids - down only,9,1,0.111111,2.39,2.39,0.0961,10.4058
2023-09-20,2023-09-20,15,Portfolio 003,Campaign 001,6.04,Manual targeting,Dynamic bids - down only,157,0,0.0,0.0,0.0,0.033,30.303
2023-09-18,2023-09-18,12,Portfolio 001,Campaign 005,5.95,Manual targeting,Dynamic bids - down only,255,1,0.003922,2.02,2.02,0.0885,11.2994
2023-09-20,2023-09-20,6,Portfolio 006,Campaign 004,7.73,Manual targeting,Dynamic bids - up and down,373,0,0.0,0.0,0.0,0.1,10.0
2023-09-17,2023-09-17,6,Portfolio 002,Campaign 002,1.77,Manual targeting,Dynamic bids - down only,104,1,0.009615,1.1,1.1,0.0119,84.0336
2023-09-19,2023-09-19,8,Portfolio 002,Campaign 003,8.5,Manual targeting,Dynamic bids - down only,369,1,0.00271,2.67,2.67,0.0004,2500.0
2023-09-21,2023-09-21,15,Portfolio 004,Campaign 003,3.91,Automatic targeting,Dynamic bids - down only,49,0,0.0,0.0,0.0,0.046,21.7391
2023-09-14,2023-09-14,17,Portfolio 002,Campaign 005,4.12,Automatic targeting,Dynamic bids - down only,341,1,0.002933,1.26,1.26,0.0579,17.2712
2023-09-21,2023-09-21,18,Portfolio 006,Campaign 004,3.82,Automatic targeting,Dynamic bids - down only,275,1,0.003636,2.18,2.18,0.0798,12.5313
2023-09-20,2023-09-20,20,Portfolio 006,Campaign 002,6.27,Automatic targeting,Dynamic bids - down only,76,0,0.0,0.0,0.0,0.0992,10.0806
2023-09-16,2023-09-16,9,Portfolio 003,Campaign 005,5.79,Manual targeting,Dynamic bids - down only,332,0,0.0,0.0,0.0,0.0118,84.7458
2023-09-23,2023-09-23,1,Portfolio 006,Campaign 005,7.78,Manual targeting,Dynamic bids - down only,118,0,0.0,0.0,0.0,0.0774,12.9199
2023-09-27,2023-09-27,18,Portfolio 006,Campaign 001,8.04,Manual targeting,Dynamic bids - down only,332,0,0.0,0.0,0.0,0.0227,44.0529
