report_date,child_asin,ppc_product,sessions_total_B2C,page_views_total_B2C,unit_session_percentage_B2C,units_ordered_B2C,ordered_product_sales_B2C,featured_offer_buy_box_percentage_B2C,segment,buy_box_group3
2022-12-01,B07QKT5T4P,0,276,290,15.94,44,1573.03,31.5,B2C,Low Buy Box
2023-01-01,B07QKT5T4P,0,2342,3020,0.94,22,558.8,18.53,B2C,Low Buy Box
2023-02-01,B07QKT5T4P,0,1921,2199,0.16,3,150.67,47.42,B2C,Low Buy Box
2023-03-01,B07QKT5T4P,0,200,266,10.5,21,981.42,51.75,B2C,Low Buy Box
2023-04-01,B07QKT5T4P,0,2688,3273,1.19,32,688.66,67.79,B2C,Low Buy Box
2023-05-01,B07QKT5T4P,0,2940,3797,1.33,39,2310.56,70.86,B2C,Low Buy Box
2023-06-01,B07QKT5T4P,0,4191,4842,1.41,59,1319.25,52.2,B2C,Low Buy Box
2023-07-01,B07QKT5T4P,0,995,1170,2.81,28,419.02,46.84,B2C,Low Buy Box
2023-08-01,B07QKT5T4P,0,4636,5999,0.09,4,114.83,45.04,B2C,Low Buy Box
2023-09-01,B07QKT5T4P,0,2128,2487,0.28,6,169.93,-6.1,B2C,Low Buy Box
2023-10-01,B07QKT5T4P,0,1756,2513,1.54,27,1563.72,57.5,B2C,Low Buy Box
2023-11-01,B07QKT5T4P,0,4576,5725,0.02,1,26.37,99.71,B2C,Low Buy Box
2023-12-01,B07QKT5T4P,0,1051,1262,0.38,4,133.98,41.27,B2C,High Buy Box
2024-01-01,B07QKT5T4P,0,1303,1702,1.0,13,653.79,18.26,B2C,High Buy Box
2022-04-01,B0HX58K320,0,5047,5849,0.16,8,358.78,30.88,B2C,Low Buy Box
2022-05-01,B0HX58K320,0,5483,8288,0.04,2,36.45,63.99,B2C,Low Buy Box
2022-06-01,B0HX58K320,0,1053,1211,1.42,15,526.5,33.06,B2C,Low Buy Box
2022-07-01,B0HX58K320,0,514,766,8.56,44,685.3,-4.09,B2C,Low Buy Box
2022-08-01,B0HX58K320,0,628,916,7.01,44,1292.63,73.12,B2C,Low Buy Box
2022-09-01,B0HX58K320,0,2511,3756,2.23,56,2702.82,91.95,B2C,Low Buy Box
2022-10-01,B0HX58K320,0,1614,2086,0.93,15,259.58,-5.95,B2C,High Buy Box
2022-11-01,B0HX58K320,0,2983,4364,0.5,15,797.08,53.02,B2C,Low Buy Box
2022-12-01,B0HX58K320,0,5908,6623,0.36,21,935.45,52.8,B2C,Low Buy Box
2023-01-01,B0HX58K320,0,852,1192,0.0,0,0.0,45.78,B2C,Low Buy Box
2023-02-01,B0HX58K320,0,553,585,1.08,6,234.95,52.11,B2C,Low Buy Box
2023-03-01,B0HX58K320,0,278,319,1.08,3,135.34,1.81,B2C,Low Buy Box
2023-04-01,B0HX58K320,0,2800,3876,0.14,4,229.5,66.23,B2C,Low Buy Box
2023-05-01,B0HX58K320,0,607,705,2.64,16,838.83,95.72,B2C,Low Buy Box
2023-06-01,B0HX58K320,0,199,236,11.56,23,1322.88,63.25,B2C,Low Buy Box
2023-07-01,B0HX58K320,0,565,789,1.95,11,573.88,36.33,B2C,High Buy Box
2023-08-01,B0HX58K320,0,377,488,10.34,39,1250.15,78.03,B2C,Low Buy Box
2023-09-01,B0HX58K320,0,2314,2606,2.16,50,1822.71,19.82,B2C,Low Buy Box
2023-10-01,B0HX58K320,0,3511,4813,0.74,26,1402.69,4.02,B2C,Low Buy Box
2023-11-01,B0HX58K320,0,1234,1906,0.41,5,136.37,17.89,B2C,Low Buy Box
2023-12-01,B0HX58K320,0,13026,18616,0.1,13,209.82,53.46,B2C,Low Buy Box
2024-01-01,B0HX58K320,0,320,461,4.06,13,759.85,24.99,B2C,Low Buy Box
2022-04-01,B0XZ19TA14,0,2427,2733,1.36,33,1102.66,7.75,B2C,Low Buy Box
2022-05-01,B0XZ19TA14,0,279,370,9.68,27,840.8,69.11,B2C,Low Buy Box
2022-06-01,B0XZ19TA14,0,2131,3099,0.28,6,348.2,4.0,B2C,Low Buy Box
2022-07-01,B0XZ19TA14,0,3236,3734,0.83,27,869.42,65.26,B2C,Low Buy Box
2022-08-01,B0XZ19TA14,0,67,99,68.66,46,2559.92,3.3,B2C,High Buy Box
2022-09-01,B0XZ19TA14,0,2542,3223,0.0,0,0.0,58.79,B2C,Low Buy Box
2022-10-01,B0XZ19TA14,0,2316,2814,1.51,35,1926.8,84.43,B2C,Low Buy Box
2022-11-01,B0XZ19TA14,0,326,425,0.0,0,0.0,67.85,B2C,Low Buy Box
2022-12-01,B0XZ19TA14,0,470,653,1.06,5,146.97,60.47,B2C,Low Buy Box
2023-01-01,B0XZ19TA14,0,241,332,17.43,42,1626.31,40.31,B2C,Low Buy Box
2023-02-01,B0XZ19TA14,0,628,838,0.64,4,144.22,8.75,B2C,Low Buy Box
2023-03-01,B0XZ19TA14,0,1465,1608,0.2,3,152.15,-8.73,B2C,Low Buy Box
2023-04-01,B0XZ19TA14,0,1488,1632,3.36,50,2686.89,34.04,B2C,Low Buy Box
2023-05-01,B0XZ19TA14,0,1069,1233,0.75,8,232.85,7.11,B2C,Low Buy Box
2023-06-01,B0XZ19TA14,0,2658,3243,0.15,4,172.34,67.21,B2C,Low Buy Box
2023-07-01,B0XZ19TA14,0,7493,11357,0.07,5,308.33,85.92,B2C,Low Buy Box
2023-08-01,B0XZ19TA14,0,1869,2883,1.87,35,1312.88,46.59,B2C,Low Buy Box
2023-09-01,B0XZ19TA14,0,632,800,0.16,1,37.12,28.3,B2C,Low Buy Box
2023-10-01,B0XZ19TA14,0,967,1221,1.55,15,767.41,92.38,B2C,Low Buy Box
2023-11-01,B0XZ19TA14,0,2082,2574,0.43,9,419.58,92.86,B2C,High Buy Box
2023-12-01,B0XZ19TA14,0,294,444,9.86,29,695.73,97.02,B2C,Low Buy Box
2024-01-01,B0XZ19TA14,0,1346,1981,1.19,16,314.35,69.94,B2C,Low Buy Box
2022-04-01,B018811E8B,0,991,1091,0.81,8,163.58,68.29,B2C,Low Buy Box
2022-05-01,B018811E8B,0,468,541,18.16,85,4427.43,50.0,B2C,Low Buy Box
2022-06-01,B018811E8B,0,2340,2927,0.51,12,589.05,37.56,B2C,High Buy Box
2022-07-01,B018811E8B,0,1956,2444,1.74,34,1607.09,37.82,B2C,Low Buy Box
2022-08-01,B018811E8B,0,687,871,1.31,9,409.73,53.24,B2C,Low Buy Box
2022-09-01,B018811E8B,0,819,1087,2.93,24,1274.59,49.32,B2C,Low Buy Box
2022-10-01,B018811E8B,0,665,776,11.43,76,2444.39,1.73,B2C,Low Buy Box
2022-11-01,B018811E8B,0,3565,3999,0.39,14,645.88,96.86,B2C,Low Buy Box
2022-12-01,B018811E8B,0,6350,8540,0.55,35,1055.52,79.02,B2C,Low Buy Box
2023-01-01,B018811E8B,0,1396,1856,1.5,21,441.52,-5.56,B2C,High Buy Box
2023-02-01,B018811E8B,0,965,1442,0.73,7,414.16,14.04,B2C,High Buy Box
2023-03-01,B018811E8B,0,1554,1977,3.54,55,2855.14,-4.02,B2C,Low Buy Box
2023-04-01,B018811E8B,0,884,1340,1.02,9,221.04,62.91,B2C,Low Buy Box
2023-05-01,B018811E8B,0,5167,5967,0.23,12,320.9,82.2,B2C,High Buy Box
2023-06-01,B018811E8B,0,3133,4839,0.35,11,525.94,40.45,B2C,Low Buy Box
2023-07-01,B018811E8B,0,875,979,1.6,14,401.4,2.44,B2C,Low Buy Box
2023-08-01,B018811E8B,0,580,736,1.9,11,390.82,94.49,B2C,Low Buy Box
2023-09-01,B018811E8B,0,265,285,22.26,59,1126.0,62.89,B2C,Low Buy Box
2023-10-01,B018811E8B,0,360,467,7.5,27,970.31,46.13,B2C,Low Buy Box
2023-11-01,B018811E8B,0,680,988,4.56,31,521.04,75.37,B2C,High Buy Box
2023-12-01,B018811E8B,0,775,857,0.65,5,186.36,99.07,B2C,Low Buy Box
2024-01-01,B018811E8B,0,2419,2653,1.65,40,1593.79,64.5,B2C,Low Buy Box
2022-04-01,B0NS8T3187,0,4205,6426,0.67,28,894.17,92.93,B2C,Low Buy Box
2022-05-01,B0NS8T3187,0,8454,9962,0.4,34,1249.2,0.11,B2C,Low Buy Box
2022-06-01,B0NS8T3187,0,1797,2553,0.0,0,0.0,52.06,B2C,Low Buy Box
2022-07-01,B0NS8T3187,0,1369,1919,4.53,62,2642.46,64.46,B2C,Low Buy Box
2022-08-01,B0NS8T3187,0,804,926,1.49,12,255.28,76.39,B2C,Low Buy Box
2022-09-01,B0NS8T3187,0,1849,1990,1.3,24,1266.99,93.36,B2C,Low Buy Box
2022-10-01,B0NS8T3187,0,1893,2578,1.43,27,902.49,27.76,B2C,Low Buy Box
2022-11-01,B0NS8T3187,0,188,207,4.26,8,443.65,29.0,B2C,Low Buy Box
2022-12-01,B0NS8T3187,0,4099,4681,0.17,7,132.69,46.87,B2C,Low Buy Box
2023-01-01,B0NS8T3187,0,2635,3876,0.19,5,180.99,64.01,B2C,Low Buy Box
2023-02-01,B0NS8T3187,0,662,979,0.3,2,107.92,38.45,B2C,Low Buy Box
2023-03-01,B0NS8T3187,0,5154,7590,0.14,7,185.25,96.45,B2C,Low Buy Box
2023-04-01,B0NS8T3187,0,1139,1274,3.95,45,1009.18,53.14,B2C,Low Buy Box
2023-05-01,B0NS8T3187,0,295,310,1.02,3,106.99,66.07,B2C,Low Buy Box
2023-06-01,B0NS8T3187,0,988,1131,2.73,27,415.08,79.15,B2C,Low Buy Box
2023-07-01,B0NS8T3187,0,361,555,1.39,5,96.99,75.47,B2C,Low Buy Box
2023-08-01,B0NS8T3187,0,118,156,18.64,22,907.26,29.22,B2C,Low Buy Box
2023-09-01,B0NS8T3187,0,1273,1654,1.96,25,582.99,91.5,B2C,Low Buy Box
2023-10-01,B0NS8T3187,0,153,220,13.73,21,1052.18,-7.56,B2C,Low Buy Box
2023-11-01,B0NS8T3187,0,327,388,1.53,5,309.28,81.01,B2C,Low Buy Box
2023-12-01,B0NS8T3187,0,39,49,51.28,20,331.46,24.79,B2C,Low Buy Box
2024-01-01,B0NS8T3187,0,1175,1361,0.0,0,0.0,14.44,B2C,Low Buy Box
2022-04-01,B0722SWB4V,0,560,668,7.86,44,810.4,38.28,B2C,Low Buy Box
2022-05-01,B0722SWB4V,0,1394,1818,3.44,48,2914.49,54.48,B2C,Low Buy Box
2022-06-01,B0722SWB4V,0,440,624,3.86,17,783.4,41.27,B2C,High Buy Box
2022-07-01,B0722SWB4V,0,2103,2712,0.43,9,129.71,-5.98,B2C,Low Buy Box
2022-08-01,B0722SWB4V,0,436,654,7.8,34,1161.25,48.0,B2C,Low Buy Box
2022-09-01,B0722SWB4V,0,1611,1722,2.23,36,911.63,-1.08,B2C,High Buy Box
2022-10-01,B0722SWB4V,0,983,1192,2.14,21,1276.39,28.65,B2C,High Buy Box
2022-11-01,B0722SWB4V,0,303,392,14.19,43,2638.04,3.24,B2C,Low Buy Box
2022-12-01,B0722SWB4V,0,4356,4747,0.07,3,102.63,96.23,B2C,Low Buy Box
2023-01-01,B0722SWB4V,0,537,643,3.35,18,342.49,66.61,B2C,Low Buy Box
2023-02-01,B0722SWB4V,0,862,1176,1.62,14,277.18,-5.89,B2C,Low Buy Box
2023-03-01,B0722SWB4V,0,5051,7110,0.32,16,746.11,-0.43,B2C,Low Buy Box
2023-04-01,B0722SWB4V,0,2825,3210,1.31,37,1394.78,65.88,B2C,Low Buy Box
2023-05-01,B0722SWB4V,0,988,1128,1.52,15,924.38,97.03,B2C,Low Buy Box
2023-06-01,B0722SWB4V,0,207,220,4.35,9,308.55,60.18,B2C,Low Buy Box
2023-07-01,B0722SWB4V,0,5533,6240,0.36,20,376.83,20.16,B2C,Low Buy Box
2023-08-01,B0722SWB4V,0,1640,2531,0.37,6,245.26,77.38,B2C,Low Buy Box
2023-09-01,B0722SWB4V,0,1852,2174,0.27,5,169.07,21.01,B2C,High Buy Box
2023-10-01,B0722SWB4V,0,467,517,4.71,22,1247.58,65.73,B2C,Low Buy Box
2023-11-01,B0722SWB4V,0,458,632,9.39,43,953.6,87.57,B2C,Low Buy Box
2023-12-01,B0722SWB4V,0,606,706,1.16,7,241.85,14.71,B2C,Low Buy Box
2024-01-01,B0722SWB4V,0,680,1001,0.0,0,0.0,33.99,B2C,Low Buy Box
2022-04-01,B0TXBBEFL1,0,1014,1273,9.57,97,1790.61,24.19,B2C,Low Buy Box
2022-05-01,B0TXBBEFL1,0,846,1216,3.07,26,574.98,57.9,B2C,Low Buy Box
2022-06-01,B0TXBBEFL1,0,728,1033,2.75,20,731.62,71.48,B2C,Low Buy Box
2022-07-01,B0TXBBEFL1,0,228,271,6.58,15,229.38,75.37,B2C,Low Buy Box
2022-08-01,B0TXBBEFL1,0,137,202,2.19,3,69.3,83.19,B2C,Low Buy Box
2022-09-01,B0TXBBEFL1,0,135,203,28.15,38,1841.03,97.59,B2C,Low Buy Box
2022-10-01,B0TXBBEFL1,0,1463,1725,0.07,1,44.39,25.27,B2C,Low Buy Box
2022-11-01,B0TXBBEFL1,0,1389,1867,0.29,4,112.25,-0.03,B2C,Low Buy Box
2022-12-01,B0TXBBEFL1,0,1116,1622,1.08,12,316.15,79.25,B2C,Low Buy Box
2023-01-01,B0TXBBEFL1,0,16056,18887,0.09,14,553.28,-2.1,B2C,Low Buy Box
2023-02-01,B0TXBBEFL1,0,541,776,0.37,2,97.22,28.29,B2C,Low Buy Box
2023-03-01,B0TXBBEFL1,0,604,844,5.3,32,1262.65,55.35,B2C,Low Buy Box
2023-04-01,B0TXBBEFL1,0,1739,1849,3.34,58,2285.46,92.34,B2C,Low Buy Box
2023-05-01,B0TXBBEFL1,0,3427,4248,0.73,25,1524.05,31.92,B2C,Low Buy Box
2023-06-01,B0TXBBEFL1,0,654,865,0.92,6,237.65,42.66,B2C,High Buy Box
2023-07-01,B0TXBBEFL1,0,1218,1356,0.74,9,520.87,41.54,B2C,Low Buy Box
2023-08-01,B0TXBBEFL1,0,902,1358,0.33,3,154.48,52.08,B2C,Low Buy Box
2023-09-01,B0TXBBEFL1,0,495,723,3.03,15,603.95,91.54,B2C,Low Buy Box
2023-10-01,B0TXBBEFL1,0,1448,2132,1.45,21,909.09,-0.06,B2C,Low Buy Box
2023-11-01,B0TXBBEFL1,0,1990,2543,3.67,73,1643.84,1.97,B2C,Low Buy Box
2023-12-01,B0TXBBEFL1,0,619,950,0.16,1,44.29,34.18,B2C,Low Buy Box
2024-01-01,B0TXBBEFL1,0,2495,3835,0.32,8,439.72,79.49,B2C,Low Buy Box
2022-04-01,B0B9D9L679,0,1265,1716,3.24,41,2321.11,84.58,B2C,Low Buy Box
2022-05-01,B0B9D9L679,0,1802,1912,0.5,9,339.04,37.44,B2C,Low Buy Box
2022-06-01,B0B9D9L679,0,5108,6101,0.08,4,204.11,14.99,B2C,Low Buy Box
2022-07-01,B0B9D9L679,0,1346,1565,0.97,13,546.9,63.97,B2C,Low Buy Box
2022-08-01,B0B9D9L679,0,1460,2065,0.62,9,495.58,96.93,B2C,Low Buy Box
2022-09-01,B0B9D9L679,0,721,940,1.53,11,219.91,62.86,B2C,High Buy Box
2022-10-01,B0B9D9L679,0,4246,6388,0.33,14,608.92,1.27,B2C,High Buy Box
2022-11-01,B0B9D9L679,0,1390,1660,1.08,15,640.6,69.9,B2C,Low Buy Box
2022-12-01,B0B9D9L679,0,1367,1800,1.1,15,828.56,57.88,B2C,Low Buy Box
2023-01-01,B0B9D9L679,0,1131,1633,0.09,1,56.86,42.24,B2C,Low Buy Box
2023-02-01,B0B9D9L679,0,1255,1657,0.4,5,114.55,12.13,B2C,Low Buy Box
2023-03-01,B0B9D9L679,0,553,608,1.08,6,308.92,85.52,B2C,Low Buy Box
2023-04-01,B0B9D9L679,0,460,679,0.43,2,77.75,60.66,B2C,Low Buy Box
2023-05-01,B0B9D9L679,0,1290,1575,2.33,30,1757.62,13.93,B2C,Low Buy Box
2023-06-01,B0B9D9L679,0,11172,15289,0.07,8,255.81,22.39,B2C,Low Buy Box
2023-07-01,B0B9D9L679,0,10646,14709,0.37,39,2416.67,23.45,B2C,Low Buy Box
2023-08-01,B0B9D9L679,0,10609,15442,0.04,4,125.99,-5.1,B2C,Low Buy Box
2023-09-01,B0B9D9L679,0,2076,2825,1.64,34,1385.1,3.67,B2C,Low Buy Box
2023-10-01,B0B9D9L679,0,1868,2504,2.46,46,1164.62,45.02,B2C,High Buy Box
2023-11-01,B0B9D9L679,0,1275,1804,1.18,15,920.29,85.48,B2C,Low Buy Box
2023-12-01,B0B9D9L679,0,531,625,1.13,6,344.92,43.93,B2C,High Buy Box
2024-01-01,B0B9D9L679,0,7537,8856,0.31,23,880.06,57.87,B2C,High Buy Box
2022-04-01,B0C4WD1XR0,0,1511,2268,0.13,2,120.15,7.75,B2C,Low Buy Box
2022-05-01,B0C4WD1XR0,0,203,310,0.99,2,108.39,34.45,B2C,High Buy Box
2022-06-01,B0C4WD1XR0,0,460,580,0.0,0,0.0,-4.8,B2C,Low Buy Box
2022-07-01,B0C4WD1XR0,0,8155,9596,0.18,15,432.4,68.59,B2C,Low Buy Box
2022-08-01,B0C4WD1XR0,0,1894,2866,0.0,0,0.0,10.35,B2C,Low Buy Box
2022-09-01,B0C4WD1XR0,0,2568,2792,0.08,2,102.96,-8.26,B2C,Low Buy Box
2022-10-01,B0C4WD1XR0,0,1335,1780,2.4,32,1066.91,64.49,B2C,Low Buy Box
2022-11-01,B0C4WD1XR0,0,819,1162,6.11,50,2244.52,47.25,B2C,Low Buy Box
2022-12-01,B0C4WD1XR0,0,272,308,4.78,13,214.23,5.59,B2C,High Buy Box
2023-01-01,B0C4WD1XR0,0,2078,3202,0.87,18,864.63,76.6,B2C,Low Buy Box
2023-02-01,B0C4WD1XR0,0,633,958,2.69,17,564.8,-7.9,B2C,Low Buy Box
2023-03-01,B0C4WD1XR0,0,6715,8501,0.6,40,1723.26,59.91,B2C,Low Buy Box
2023-04-01,B0C4WD1XR0,0,5866,6509,0.07,4,62.02,74.68,B2C,Low Buy Box
2023-05-01,B0C4WD1XR0,0,1699,2174,2.35,40,1878.55,77.4,B2C,Low Buy Box
2023-06-01,B0C4WD1XR0,0,655,743,0.15,1,39.38,54.35,B2C,Low Buy Box
2023-07-01,B0C4WD1XR0,0,213,300,15.49,33,495.38,39.92,B2C,Low Buy Box
2023-08-01,B0C4WD1XR0,0,774,1040,2.33,18,662.11,23.09,B2C,Low Buy Box
2023-09-01,B0C4WD1XR0,0,10775,11395,0.2,22,545.25,53.69,B2C,Low Buy Box
2023-10-01,B0C4WD1XR0,0,9207,11215,0.07,6,267.58,19.01,B2C,Low Buy Box
2023-11-01,B0C4WD1XR0,0,2361,3423,0.76,18,698.5,31.96,B2C,Low Buy Box
2023-12-01,B0C4WD1XR0,0,4566,6101,0.7,32,1413.11,6.39,B2C,Low Buy Box
2024-01-01,B0C4WD1XR0,0,1629,1839,1.29,21,1280.79,53.29,B2C,Low Buy Box
2022-04-01,B0LVRCBQ53,0,5496,7836,0.6,33,2015.16,95.03,B2C,Low Buy Box
2022-05-01,B0LVRCBQ53,0,5982,7039,0.28,17,765.84,86.61,B2C,Low Buy Box
2022-06-01,B0LVRCBQ53,0,1774,1952,1.18,21,650.7,76.31,B2C,Low Buy Box
2022-07-01,B0LVRCBQ53,0,3484,4309,0.46,16,265.42,81.87,B2C,Low Buy Box
2022-08-01,B0LVRCBQ53,0,409,438,1.71,7,139.81,-3.44,B2C,High Buy Box
2022-09-01,B0LVRCBQ53,0,3902,4340,0.49,19,1174.46,71.42,B2C,Low Buy Box
2022-10-01,B0LVRCBQ53,0,459,523,10.24,47,1945.93,86.26,B2C,Low Buy Box
2022-11-01,B0LVRCBQ53,0,1542,2368,1.49,23,811.65,90.24,B2C,Low Buy Box
2022-12-01,B0LVRCBQ53,0,3993,4796,0.05,2,122.42,56.23,B2C,Low Buy Box
2023-01-01,B0LVRCBQ53,0,2154,3186,1.81,39,631.07,45.29,B2C,Low Buy Box
2023-02-01,B0LVRCBQ53,0,2326,2527,0.73,17,440.87,19.98,B2C,Low Buy Box
2023-03-01,B0LVRCBQ53,0,47,64,59.57,28,1149.99,61.46,B2C,Low Buy Box
2023-04-01,B0LVRCBQ53,0,463,708,10.58,49,741.86,10.02,B2C,Low Buy Box
2023-05-01,B0LVRCBQ53,0,2888,3107,0.66,19,409.88,76.66,B2C,High Buy Box
2023-06-01,B0LVRCBQ53,0,200,307,3.0,6,302.3,73.29,B2C,Low Buy Box
2023-07-01,B0LVRCBQ53,0,1293,1671,0.0,0,0.0,41.56,B2C,Low Buy Box
2023-08-01,B0LVRCBQ53,0,52,69,15.38,8,308.34,12.49,B2C,Low Buy Box
2023-09-01,B0LVRCBQ53,0,4527,5682,0.4,18,377.37,14.52,B2C,Low Buy Box
2023-10-01,B0LVRCBQ53,0,4284,6270,0.33,14,665.05,96.59,B2C,Low Buy Box
2023-11-01,B0LVRCBQ53,0,678,754,1.62,11,600.39,33.31,B2C,Low Buy Box
2023-12-01,B0LVRCBQ53,0,1159,1676,2.24,26,389.93,13.91,B2C,High Buy Box
2024-01-01,B0LVRCBQ53,0,1968,2364,0.0,0,0.0,49.96,B2C,Low Buy Box
2022-04-01,B0ZLKWJ9ND,0,583,740,0.17,1,15.13,49.01,B2C,Low Buy Box
2022-05-01,B0ZLKWJ9ND,0,3837,4933,0.16,6,124.67,78.36,B2C,Low Buy Box
2022-06-01,B0ZLKWJ9ND,0,2919,3226,2.19,64,1625.22,36.21,B2C,Low Buy Box
2022-07-01,B0ZLKWJ9ND,0,7676,8204,0.47,36,2053.07,11.76,B2C,High Buy Box
2022-08-01,B0ZLKWJ9ND,0,135,189,21.48,29,797.29,76.54,B2C,Low Buy Box
2022-09-01,B0ZLKWJ9ND,0,2365,2531,0.51,12,344.2,-3.6,B2C,Low Buy Box
2022-10-01,B0ZLKWJ9ND,0,1397,2139,2.0,28,1489.99,13.72,B2C,Low Buy Box
2022-11-01,B0ZLKWJ9ND,0,3192,4614,0.16,5,166.4,31.78,B2C,Low Buy Box
2022-12-01,B0ZLKWJ9ND,0,4690,5598,2.47,116,2332.68,95.4,B2C,High Buy Box
2023-01-01,B0ZLKWJ9ND,0,374,528,2.41,9,369.59,64.84,B2C,Low Buy Box
2023-02-01,B0ZLKWJ9ND,0,591,829,0.17,1,42.0,17.85,B2C,High Buy Box
2023-03-01,B0ZLKWJ9ND,0,32,38,62.5,20,901.59,58.74,B2C,Low Buy Box
2023-04-01,B0ZLKWJ9ND,0,3168,3369,0.06,2,123.45,-6.59,B2C,Low Buy Box
2023-05-01,B0ZLKWJ9ND,0,641,809,2.96,19,690.03,82.98,B2C,Low Buy Box
2023-06-01,B0ZLKWJ9ND,0,51,55,76.47,39,2198.67,88.3,B2C,Low Buy Box
2023-07-01,B0ZLKWJ9ND,0,72,109,23.61,17,541.07,19.75,B2C,High Buy Box
2023-08-01,B0ZLKWJ9ND,0,2706,4133,1.07,29,1099.74,97.48,B2C,High Buy Box
2023-09-01,B0ZLKWJ9ND,0,1066,1132,0.0,0,0.0,19.22,B2C,Low Buy Box
2023-10-01,B0ZLKWJ9ND,0,2694,3376,0.74,20,894.61,59.91,B2C,Low Buy Box
2023-11-01,B0ZLKWJ9ND,0,2569,2844,0.0,0,0.0,45.95,B2C,Low Buy Box
2023-12-01,B0ZLKWJ9ND,0,5227,7002,0.17,9,270.95,28.9,B2C,Low Buy Box
2024-01-01,B0ZLKWJ9ND,0,214,294,3.74,8,467.88,-3.78,B2C,Low Buy Box
2022-04-01,B01VBSN1GN,0,981,1489,1.12,11,172.6,20.61,B2C,High Buy Box
2022-05-01,B01VBSN1GN,0,3151,3350,0.76,24,401.1,1.8,B2C,Low Buy Box
2022-06-01,B01VBSN1GN,0,855,1090,2.46,21,1026.59,10.61,B2C,Low Buy Box
2022-07-01,B01VBSN1GN,0,2898,3918,0.14,4,183.69,14.9,B2C,Low Buy Box
2022-08-01,B01VBSN1GN,0,5606,7493,0.2,11,320.03,84.91,B2C,Low Buy Box
2022-09-01,B01VBSN1GN,0,8211,12555,0.02,2,49.14,82.23,B2C,Low Buy Box
2022-10-01,B01VBSN1GN,0,5967,8414,0.0,0,0.0,70.62,B2C,Low Buy Box
2022-11-01,B01VBSN1GN,0,665,903,0.0,0,0.0,73.95,B2C,Low Buy Box
2022-12-01,B01VBSN1GN,0,730,937,0.82,6,126.0,8.49,B2C,Low Buy Box
2023-01-01,B01VBSN1GN,0,455,510,6.81,31,1533.11,-7.55,B2C,Low Buy Box
